This is the Log File of datestart Time 2022-04-01 18:40:32
g++ -g main_noCudaGraph.cpp -o executable -I/opt/spack/opt/spack/linux-debian10-x86_64/gcc-8.3.0/cuda-11.0.1-zf2qnnopvhmxs2my3de44qlqhedgwja7/include -L/opt/spack/opt/spack/linux-debian10-x86_64/gcc-8.3.0/cuda-11.0.1-zf2qnnopvhmxs2my3de44qlqhedgwja7/lib64 -lcublas -lcurand -fopenmp -lcudart
----- run GEMM 1280 x 1280, BS=64
Elapsed time for execution without CUDA graph:0.004663 (s)
Elapsed time for execution without CUDA graph:0.004655 (s)
Elapsed time for execution without CUDA graph:0.004678 (s)
Elapsed time for execution without CUDA graph:0.004670 (s)
Elapsed time for execution without CUDA graph:0.004664 (s)
Elapsed time for execution without CUDA graph:0.004665 (s)
Elapsed time for execution without CUDA graph:0.004658 (s)
Elapsed time for execution without CUDA graph:0.004644 (s)
Elapsed time for execution without CUDA graph:0.004653 (s)
Elapsed time for execution without CUDA graph:0.004645 (s)
Elapsed time for execution without CUDA graph:0.004655 (s)
Elapsed time for execution without CUDA graph:0.004648 (s)
Elapsed time for execution without CUDA graph:0.004661 (s)
Elapsed time for execution without CUDA graph:0.004672 (s)
Elapsed time for execution without CUDA graph:0.004642 (s)
Elapsed time for execution without CUDA graph:0.004656 (s)
Elapsed time for execution without CUDA graph:0.004642 (s)
Elapsed time for execution without CUDA graph:0.004632 (s)
Elapsed time for execution without CUDA graph:0.004652 (s)
Elapsed time for execution without CUDA graph:0.004644 (s)
Elapsed time for execution without CUDA graph:0.004667 (s)
Elapsed time for execution without CUDA graph:0.004649 (s)
Elapsed time for execution without CUDA graph:0.004680 (s)
Elapsed time for execution without CUDA graph:0.004673 (s)
Elapsed time for execution without CUDA graph:0.004654 (s)
Elapsed time for execution without CUDA graph:0.004649 (s)
Elapsed time for execution without CUDA graph:0.004666 (s)
Elapsed time for execution without CUDA graph:0.004659 (s)
Elapsed time for execution without CUDA graph:0.004659 (s)
Elapsed time for execution without CUDA graph:0.004672 (s)
Elapsed time for execution without CUDA graph:0.004669 (s)
Elapsed time for execution without CUDA graph:0.004687 (s)
Elapsed time for execution without CUDA graph:0.004665 (s)
Elapsed time for execution without CUDA graph:0.004665 (s)
Elapsed time for execution without CUDA graph:0.004659 (s)
Elapsed time for execution without CUDA graph:0.004668 (s)
Elapsed time for execution without CUDA graph:0.004661 (s)
Elapsed time for execution without CUDA graph:0.004669 (s)
Elapsed time for execution without CUDA graph:0.004664 (s)
Elapsed time for execution without CUDA graph:0.004638 (s)
Elapsed time for execution without CUDA graph:0.004664 (s)
Elapsed time for execution without CUDA graph:0.004668 (s)
Elapsed time for execution without CUDA graph:0.004673 (s)
Elapsed time for execution without CUDA graph:0.004674 (s)
Elapsed time for execution without CUDA graph:0.004679 (s)
Elapsed time for execution without CUDA graph:0.004660 (s)
Elapsed time for execution without CUDA graph:0.004646 (s)
Elapsed time for execution without CUDA graph:0.004662 (s)
Elapsed time for execution without CUDA graph:0.004668 (s)
Elapsed time for execution without CUDA graph:0.004672 (s)
Elapsed time for execution without CUDA graph:0.004684 (s)
Elapsed time for execution without CUDA graph:0.004663 (s)
Elapsed time for execution without CUDA graph:0.004693 (s)
Elapsed time for execution without CUDA graph:0.004644 (s)
Elapsed time for execution without CUDA graph:0.004678 (s)
Elapsed time for execution without CUDA graph:0.004669 (s)
Elapsed time for execution without CUDA graph:0.004680 (s)
Elapsed time for execution without CUDA graph:0.004671 (s)
Elapsed time for execution without CUDA graph:0.004673 (s)
Elapsed time for execution without CUDA graph:0.004674 (s)
Elapsed time for execution without CUDA graph:0.004680 (s)
Elapsed time for execution without CUDA graph:0.004675 (s)
Elapsed time for execution without CUDA graph:0.004664 (s)
Elapsed time for execution without CUDA graph:0.004663 (s)
Elapsed time for execution without CUDA graph:0.004663 (s)
Elapsed time for execution without CUDA graph:0.004685 (s)
Elapsed time for execution without CUDA graph:0.004677 (s)
Elapsed time for execution without CUDA graph:0.004664 (s)
Elapsed time for execution without CUDA graph:0.004666 (s)
Elapsed time for execution without CUDA graph:0.004665 (s)
Elapsed time for execution without CUDA graph:0.004662 (s)
Elapsed time for execution without CUDA graph:0.004682 (s)
