index,time,kernel,dimension,blocksize,operation,cudagraph,
0,3.55161,576,30720,1280,launch,1
1,3.55547,576,30720,1280,launch,1
2,3.5583,576,30720,1280,launch,1
3,3.56412,576,30720,1280,launch,1
4,3.57088,576,30720,1280,launch,1
5,3.57581,576,30720,1280,launch,1
6,3.58324,576,30720,1280,launch,1
7,3.58696,576,30720,1280,launch,1
8,3.58903,576,30720,1280,launch,1
9,3.59508,576,30720,1280,launch,1
10,3.59878,576,30720,1280,launch,1
11,3.60023,576,30720,1280,launch,1
12,3.60773,576,30720,1280,launch,1
13,3.60652,576,30720,1280,launch,1
14,3.60714,576,30720,1280,launch,1
15,3.6115,576,30720,1280,launch,1
16,3.61194,576,30720,1280,launch,1
17,3.61453,576,30720,1280,launch,1
18,3.61309,576,30720,1280,launch,1
19,3.61897,576,30720,1280,launch,1
20,3.61311,576,30720,1280,launch,1
21,3.61767,576,30720,1280,launch,1
22,3.61919,576,30720,1280,launch,1
23,3.62113,576,30720,1280,launch,1
24,3.62248,576,30720,1280,launch,1
25,3.6232,576,30720,1280,launch,1
26,3.6224,576,30720,1280,launch,1
27,3.626,576,30720,1280,launch,1
28,3.62302,576,30720,1280,launch,1
29,3.62711,576,30720,1280,launch,1
30,3.62629,576,30720,1280,launch,1
31,3.62536,576,30720,1280,launch,1
32,3.62508,576,30720,1280,launch,1
33,3.62406,576,30720,1280,launch,1
34,3.62543,576,30720,1280,launch,1
35,3.62602,576,30720,1280,launch,1
36,3.62202,576,30720,1280,launch,1
37,3.62347,576,30720,1280,launch,1
38,3.62644,576,30720,1280,launch,1
39,3.62315,576,30720,1280,launch,1
40,3.62454,576,30720,1280,launch,1
41,3.62468,576,30720,1280,launch,1
42,3.62339,576,30720,1280,launch,1
43,3.62258,576,30720,1280,launch,1
44,3.62377,576,30720,1280,launch,1
45,3.62313,576,30720,1280,launch,1
46,3.61948,576,30720,1280,launch,1
47,3.62279,576,30720,1280,launch,1
48,3.62356,576,30720,1280,launch,1
49,3.62192,576,30720,1280,launch,1
50,3.62343,576,30720,1280,launch,1
51,3.62078,576,30720,1280,launch,1
52,3.61772,576,30720,1280,launch,1
53,3.61773,576,30720,1280,launch,1
54,3.62091,576,30720,1280,launch,1
55,3.62038,576,30720,1280,launch,1
56,3.61951,576,30720,1280,launch,1
57,3.61713,576,30720,1280,launch,1
58,3.61999,576,30720,1280,launch,1
59,3.61864,576,30720,1280,launch,1
60,3.61603,576,30720,1280,launch,1
61,3.61737,576,30720,1280,launch,1
62,3.61789,576,30720,1280,launch,1
63,3.61777,576,30720,1280,launch,1
64,3.61762,576,30720,1280,launch,1
65,3.61924,576,30720,1280,launch,1
66,3.61749,576,30720,1280,launch,1
67,3.61911,576,30720,1280,launch,1
68,3.61493,576,30720,1280,launch,1
69,3.61647,576,30720,1280,launch,1
70,3.61679,576,30720,1280,launch,1
71,3.61639,576,30720,1280,launch,1
72,3.614,576,30720,1280,launch,1
73,3.61297,576,30720,1280,launch,1
74,3.61276,576,30720,1280,launch,1
75,3.61318,576,30720,1280,launch,1
76,3.6148,576,30720,1280,launch,1
77,3.61085,576,30720,1280,launch,1
78,3.61425,576,30720,1280,launch,1
79,3.61182,576,30720,1280,launch,1
80,3.61139,576,30720,1280,launch,1
81,3.61121,576,30720,1280,launch,1
82,3.61385,576,30720,1280,launch,1
83,3.61306,576,30720,1280,launch,1
84,3.61399,576,30720,1280,launch,1
85,3.61207,576,30720,1280,launch,1
86,3.61216,576,30720,1280,launch,1
87,3.61557,576,30720,1280,launch,1
88,3.61192,576,30720,1280,launch,1
89,3.61164,576,30720,1280,launch,1
90,3.61079,576,30720,1280,launch,1
91,3.61184,576,30720,1280,launch,1
92,3.61192,576,30720,1280,launch,1
93,3.61257,576,30720,1280,launch,1
94,3.61342,576,30720,1280,launch,1
95,3.61464,576,30720,1280,launch,1
96,3.61121,576,30720,1280,launch,1
97,3.61475,576,30720,1280,launch,1
98,3.61215,576,30720,1280,launch,1
99,3.61146,576,30720,1280,launch,1
100,3.61082,576,30720,1280,launch,1
101,3.61292,576,30720,1280,launch,1
102,3.6098,576,30720,1280,launch,1
103,3.61307,576,30720,1280,launch,1
104,3.61059,576,30720,1280,launch,1
105,3.60965,576,30720,1280,launch,1
106,3.61298,576,30720,1280,launch,1
107,3.61158,576,30720,1280,launch,1
108,3.61103,576,30720,1280,launch,1
109,3.61189,576,30720,1280,launch,1
110,3.61269,576,30720,1280,launch,1
111,3.61221,576,30720,1280,launch,1
112,3.61124,576,30720,1280,launch,1
113,3.61176,576,30720,1280,launch,1
114,3.61236,576,30720,1280,launch,1
115,3.61187,576,30720,1280,launch,1
116,3.61182,576,30720,1280,launch,1
117,3.61148,576,30720,1280,launch,1
118,3.61163,576,30720,1280,launch,1
119,3.61314,576,30720,1280,launch,1
120,3.60988,576,30720,1280,launch,1
121,3.61129,576,30720,1280,launch,1
122,3.61423,576,30720,1280,launch,1
123,3.61036,576,30720,1280,launch,1
124,3.61068,576,30720,1280,launch,1
125,3.61259,576,30720,1280,launch,1
126,3.6124,576,30720,1280,launch,1
127,3.61022,576,30720,1280,launch,1
128,3.6105,576,30720,1280,launch,1
129,3.61063,576,30720,1280,launch,1
130,3.61287,576,30720,1280,launch,1
131,3.61118,576,30720,1280,launch,1
132,3.61172,576,30720,1280,launch,1
133,3.6095,576,30720,1280,launch,1
134,3.61241,576,30720,1280,launch,1
135,3.61067,576,30720,1280,launch,1
136,3.61299,576,30720,1280,launch,1
137,3.60924,576,30720,1280,launch,1
