index,time,kernel,dimension,blocksize,operation,cudagraph
0,3.88163,7744,28160,320,launch,0
1,3.90152,7744,28160,320,launch,0
2,3.91019,7744,28160,320,launch,0
3,3.91828,7744,28160,320,launch,0
4,3.92502,7744,28160,320,launch,0
5,3.93198,7744,28160,320,launch,0
6,3.93802,7744,28160,320,launch,0
7,3.94277,7744,28160,320,launch,0
8,3.946,7744,28160,320,launch,0
9,3.94901,7744,28160,320,launch,0
10,3.9546,7744,28160,320,launch,0
11,3.95772,7744,28160,320,launch,0
12,3.9614,7744,28160,320,launch,0
13,3.96538,7744,28160,320,launch,0
14,3.96796,7744,28160,320,launch,0
15,3.97019,7744,28160,320,launch,0
16,3.97165,7744,28160,320,launch,0
17,3.97275,7744,28160,320,launch,0
18,3.97609,7744,28160,320,launch,0
19,3.97602,7744,28160,320,launch,0
20,3.97985,7744,28160,320,launch,0
21,3.98032,7744,28160,320,launch,0
22,3.98075,7744,28160,320,launch,0
23,3.98221,7744,28160,320,launch,0
24,3.9828,7744,28160,320,launch,0
25,3.98306,7744,28160,320,launch,0
26,3.98338,7744,28160,320,launch,0
27,3.98388,7744,28160,320,launch,0
28,3.98328,7744,28160,320,launch,0
29,3.98535,7744,28160,320,launch,0
30,3.98313,7744,28160,320,launch,0
31,3.98374,7744,28160,320,launch,0
32,3.98407,7744,28160,320,launch,0
33,3.98427,7744,28160,320,launch,0
34,3.98412,7744,28160,320,launch,0
35,3.98401,7744,28160,320,launch,0
36,3.98305,7744,28160,320,launch,0
37,3.98363,7744,28160,320,launch,0
38,3.98395,7744,28160,320,launch,0
39,3.98306,7744,28160,320,launch,0
40,3.98362,7744,28160,320,launch,0
41,3.98329,7744,28160,320,launch,0
42,3.98157,7744,28160,320,launch,0
43,3.98161,7744,28160,320,launch,0
44,3.98143,7744,28160,320,launch,0
45,3.98303,7744,28160,320,launch,0
46,3.98241,7744,28160,320,launch,0
47,3.98229,7744,28160,320,launch,0
48,3.98073,7744,28160,320,launch,0
49,3.98048,7744,28160,320,launch,0
50,3.98148,7744,28160,320,launch,0
51,3.97996,7744,28160,320,launch,0
52,3.98004,7744,28160,320,launch,0
53,3.97904,7744,28160,320,launch,0
54,3.97937,7744,28160,320,launch,0
55,3.97956,7744,28160,320,launch,0
56,3.97908,7744,28160,320,launch,0
57,3.97862,7744,28160,320,launch,0
58,3.97746,7744,28160,320,launch,0
59,3.97755,7744,28160,320,launch,0
60,3.97593,7744,28160,320,launch,0
61,3.9751,7744,28160,320,launch,0
62,3.97553,7744,28160,320,launch,0
63,3.97455,7744,28160,320,launch,0
64,3.97452,7744,28160,320,launch,0
65,3.97571,7744,28160,320,launch,0
66,3.97311,7744,28160,320,launch,0
67,3.97313,7744,28160,320,launch,0
68,3.97496,7744,28160,320,launch,0
69,3.97342,7744,28160,320,launch,0
70,3.9737,7744,28160,320,launch,0
71,3.97427,7744,28160,320,launch,0
72,3.97438,7744,28160,320,launch,0
73,3.97398,7744,28160,320,launch,0
74,3.97386,7744,28160,320,launch,0
75,3.97451,7744,28160,320,launch,0
76,3.97499,7744,28160,320,launch,0
77,3.97488,7744,28160,320,launch,0
78,3.97475,7744,28160,320,launch,0
79,3.97364,7744,28160,320,launch,0
80,3.97323,7744,28160,320,launch,0
81,3.9753,7744,28160,320,launch,0
82,3.974,7744,28160,320,launch,0
83,3.97643,7744,28160,320,launch,0
84,3.97454,7744,28160,320,launch,0
85,3.97284,7744,28160,320,launch,0
86,3.97305,7744,28160,320,launch,0
87,3.974,7744,28160,320,launch,0
88,3.97389,7744,28160,320,launch,0
89,3.97396,7744,28160,320,launch,0
