time,kernel,dimension,blocksize,operation,
159,1.03364,27900,19200,640,launch,1
160,1.03284,27900,19200,640,launch,1
161,1.03303,27900,19200,640,launch,1
162,1.03342,27900,19200,640,launch,1
163,1.03324,27900,19200,640,launch,1
164,1.03307,27900,19200,640,launch,1
165,1.0341,27900,19200,640,launch,1
166,1.03274,27900,19200,640,launch,1
167,1.03356,27900,19200,640,launch,1
168,1.03397,27900,19200,640,launch,1
169,1.03294,27900,19200,640,launch,1
170,1.03309,27900,19200,640,launch,1
171,1.03212,27900,19200,640,launch,1
172,1.03289,27900,19200,640,launch,1
173,1.03199,27900,19200,640,launch,1
174,1.03358,27900,19200,640,launch,1
175,1.03345,27900,19200,640,launch,1
176,1.03297,27900,19200,640,launch,1
177,1.03347,27900,19200,640,launch,1
178,1.03228,27900,19200,640,launch,1
179,1.03268,27900,19200,640,launch,1
180,1.03402,27900,19200,640,launch,1
181,1.03264,27900,19200,640,launch,1
182,1.03196,27900,19200,640,launch,1
183,1.03202,27900,19200,640,launch,1
184,1.0318,27900,19200,640,launch,1
185,1.03237,27900,19200,640,launch,1
186,1.03148,27900,19200,640,launch,1
187,1.03326,27900,19200,640,launch,1
188,1.03358,27900,19200,640,launch,1
189,1.03141,27900,19200,640,launch,1
190,1.0324,27900,19200,640,launch,1
191,1.03266,27900,19200,640,launch,1
192,1.03108,27900,19200,640,launch,1
193,1.03233,27900,19200,640,launch,1
194,1.03267,27900,19200,640,launch,1
195,1.03219,27900,19200,640,launch,1
196,1.03256,27900,19200,640,launch,1
197,1.0323,27900,19200,640,launch,1
198,1.03156,27900,19200,640,launch,1
199,1.03144,27900,19200,640,launch,1
