index,time,kernel,dimension,blocksize,operation,cudagraph
0,2.98345,36100,24320,128,launch,0
1,2.99281,36100,24320,128,launch,0
2,2.99708,36100,24320,128,launch,0
3,3.00082,36100,24320,128,launch,0
4,3.0015,36100,24320,128,launch,0
5,3.00572,36100,24320,128,launch,0
6,3.00822,36100,24320,128,launch,0
7,3.01028,36100,24320,128,launch,0
8,3.01242,36100,24320,128,launch,0
9,3.01515,36100,24320,128,launch,0
10,3.01542,36100,24320,128,launch,0
11,3.01753,36100,24320,128,launch,0
12,3.01894,36100,24320,128,launch,0
13,3.02004,36100,24320,128,launch,0
14,3.02092,36100,24320,128,launch,0
15,3.02198,36100,24320,128,launch,0
16,3.02239,36100,24320,128,launch,0
17,3.02627,36100,24320,128,launch,0
18,3.02674,36100,24320,128,launch,0
19,3.02617,36100,24320,128,launch,0
20,3.02873,36100,24320,128,launch,0
21,3.02791,36100,24320,128,launch,0
22,3.02838,36100,24320,128,launch,0
23,3.02942,36100,24320,128,launch,0
24,3.02965,36100,24320,128,launch,0
25,3.02861,36100,24320,128,launch,0
26,3.03166,36100,24320,128,launch,0
27,3.03159,36100,24320,128,launch,0
28,3.02917,36100,24320,128,launch,0
29,3.03217,36100,24320,128,launch,0
30,3.03331,36100,24320,128,launch,0
31,3.03311,36100,24320,128,launch,0
32,3.03349,36100,24320,128,launch,0
33,3.03415,36100,24320,128,launch,0
34,3.03567,36100,24320,128,launch,0
35,3.03622,36100,24320,128,launch,0
36,3.0346,36100,24320,128,launch,0
37,3.03543,36100,24320,128,launch,0
38,3.0369,36100,24320,128,launch,0
39,3.03494,36100,24320,128,launch,0
40,3.03568,36100,24320,128,launch,0
41,3.03568,36100,24320,128,launch,0
42,3.03543,36100,24320,128,launch,0
43,3.03583,36100,24320,128,launch,0
44,3.0361,36100,24320,128,launch,0
45,3.03691,36100,24320,128,launch,0
46,3.03682,36100,24320,128,launch,0
47,3.03591,36100,24320,128,launch,0
48,3.03559,36100,24320,128,launch,0
49,3.03657,36100,24320,128,launch,0
50,3.03551,36100,24320,128,launch,0
51,3.0359,36100,24320,128,launch,0
52,3.03636,36100,24320,128,launch,0
53,3.03642,36100,24320,128,launch,0
54,3.03648,36100,24320,128,launch,0
55,3.0364,36100,24320,128,launch,0
56,3.03525,36100,24320,128,launch,0
57,3.03724,36100,24320,128,launch,0
58,3.03555,36100,24320,128,launch,0
59,3.03585,36100,24320,128,launch,0
60,3.03435,36100,24320,128,launch,0
61,3.03595,36100,24320,128,launch,0
62,3.03536,36100,24320,128,launch,0
63,3.03408,36100,24320,128,launch,0
64,3.0356,36100,24320,128,launch,0
65,3.0344,36100,24320,128,launch,0
66,3.03545,36100,24320,128,launch,0
67,3.03541,36100,24320,128,launch,0
68,3.03539,36100,24320,128,launch,0
69,3.0367,36100,24320,128,launch,0
70,3.03598,36100,24320,128,launch,0
71,3.03582,36100,24320,128,launch,0
72,3.03534,36100,24320,128,launch,0
73,3.03491,36100,24320,128,launch,0
74,3.03683,36100,24320,128,launch,0
75,3.03534,36100,24320,128,launch,0
76,3.03671,36100,24320,128,launch,0
77,3.0361,36100,24320,128,launch,0
78,3.03511,36100,24320,128,launch,0
79,3.03552,36100,24320,128,launch,0
80,3.03646,36100,24320,128,launch,0
81,3.034,36100,24320,128,launch,0
82,3.03587,36100,24320,128,launch,0
83,3.03535,36100,24320,128,launch,0
84,3.03497,36100,24320,128,launch,0
85,3.03524,36100,24320,128,launch,0
86,3.03554,36100,24320,128,launch,0
87,3.03435,36100,24320,128,launch,0
88,3.03483,36100,24320,128,launch,0
89,3.03601,36100,24320,128,launch,0
90,3.03476,36100,24320,128,launch,0
91,3.03592,36100,24320,128,launch,0
92,3.03467,36100,24320,128,launch,0
93,3.03667,36100,24320,128,launch,0
94,3.03528,36100,24320,128,launch,0
95,3.03488,36100,24320,128,launch,0
96,3.03602,36100,24320,128,launch,0
