index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,5.09452,14400,30720,256,launch,0
1,5.11796,14400,30720,256,launch,0
2,5.13464,14400,30720,256,launch,0
3,5.14551,14400,30720,256,launch,0
4,5.15761,14400,30720,256,launch,0
5,5.165,14400,30720,256,launch,0
6,5.17558,14400,30720,256,launch,0
7,5.18395,14400,30720,256,launch,0
8,5.18894,14400,30720,256,launch,0
9,5.19733,14400,30720,256,launch,0
10,5.20139,14400,30720,256,launch,0
11,5.20651,14400,30720,256,launch,0
12,5.20974,14400,30720,256,launch,0
13,5.21516,14400,30720,256,launch,0
14,5.21701,14400,30720,256,launch,0
15,5.22164,14400,30720,256,launch,0
16,5.22361,14400,30720,256,launch,0
17,5.22405,14400,30720,256,launch,0
18,5.22534,14400,30720,256,launch,0
19,5.22612,14400,30720,256,launch,0
20,5.22583,14400,30720,256,launch,0
21,5.22499,14400,30720,256,launch,0
22,5.22565,14400,30720,256,launch,0
23,5.22594,14400,30720,256,launch,0
24,5.22503,14400,30720,256,launch,0
25,5.22575,14400,30720,256,launch,0
26,5.22477,14400,30720,256,launch,0
27,5.22479,14400,30720,256,launch,0
28,5.22512,14400,30720,256,launch,0
29,5.22486,14400,30720,256,launch,0
30,5.22484,14400,30720,256,launch,0
31,5.22416,14400,30720,256,launch,0
32,5.22429,14400,30720,256,launch,0
33,5.22095,14400,30720,256,launch,0
34,5.22075,14400,30720,256,launch,0
35,5.22006,14400,30720,256,launch,0
36,5.22036,14400,30720,256,launch,0
37,5.21836,14400,30720,256,launch,0
38,5.21635,14400,30720,256,launch,0
39,5.21739,14400,30720,256,launch,0
40,5.21649,14400,30720,256,launch,0
41,5.21798,14400,30720,256,launch,0
42,5.21619,14400,30720,256,launch,0
43,5.21369,14400,30720,256,launch,0
44,5.21257,14400,30720,256,launch,0
45,5.21356,14400,30720,256,launch,0
46,5.21152,14400,30720,256,launch,0
47,5.21257,14400,30720,256,launch,0
48,5.21014,14400,30720,256,launch,0
49,5.20975,14400,30720,256,launch,0
50,5.21004,14400,30720,256,launch,0
51,5.21073,14400,30720,256,launch,0
52,5.20935,14400,30720,256,launch,0
53,5.21165,14400,30720,256,launch,0
54,5.21082,14400,30720,256,launch,0
55,5.21168,14400,30720,256,launch,0
56,5.21115,14400,30720,256,launch,0
57,5.21049,14400,30720,256,launch,0
58,5.21136,14400,30720,256,launch,0
59,5.21025,14400,30720,256,launch,0
60,5.20966,14400,30720,256,launch,0
61,5.21353,14400,30720,256,launch,0
62,5.21232,14400,30720,256,launch,0
63,5.21313,14400,30720,256,launch,0
64,5.20944,14400,30720,256,launch,0
65,5.21094,14400,30720,256,launch,0
66,5.21032,14400,30720,256,launch,0
67,5.20984,14400,30720,256,launch,0
68,5.2117,14400,30720,256,launch,0
69,5.21113,14400,30720,256,launch,0
70,5.21015,14400,30720,256,launch,0
