time,kernel,dimension,blocksize,operation,
0,2.82385,1452,28160,2560,launch,1
1,2.84226,1452,28160,2560,launch,1
2,2.84497,1452,28160,2560,launch,1
3,2.84735,1452,28160,2560,launch,1
4,2.8529,1452,28160,2560,launch,1
5,2.85442,1452,28160,2560,launch,1
6,2.85749,1452,28160,2560,launch,1
7,2.86287,1452,28160,2560,launch,1
8,2.86294,1452,28160,2560,launch,1
9,2.8669,1452,28160,2560,launch,1
10,2.86724,1452,28160,2560,launch,1
11,2.87113,1452,28160,2560,launch,1
12,2.8709,1452,28160,2560,launch,1
13,2.87556,1452,28160,2560,launch,1
14,2.87665,1452,28160,2560,launch,1
15,2.87877,1452,28160,2560,launch,1
16,2.88065,1452,28160,2560,launch,1
17,2.88147,1452,28160,2560,launch,1
18,2.86541,1452,28160,2560,launch,1
19,2.86413,1452,28160,2560,launch,1
20,2.85695,1452,28160,2560,launch,1
21,2.8627,1452,28160,2560,launch,1
22,2.86511,1452,28160,2560,launch,1
23,2.86693,1452,28160,2560,launch,1
24,2.86938,1452,28160,2560,launch,1
25,2.8698,1452,28160,2560,launch,1
26,2.8704,1452,28160,2560,launch,1
27,2.87271,1452,28160,2560,launch,1
28,2.86934,1452,28160,2560,launch,1
29,2.87244,1452,28160,2560,launch,1
30,2.87186,1452,28160,2560,launch,1
31,2.87314,1452,28160,2560,launch,1
32,2.87301,1452,28160,2560,launch,1
33,2.87196,1452,28160,2560,launch,1
34,2.87317,1452,28160,2560,launch,1
35,2.87492,1452,28160,2560,launch,1
36,2.87455,1452,28160,2560,launch,1
37,2.87322,1452,28160,2560,launch,1
38,2.87442,1452,28160,2560,launch,1
39,2.87493,1452,28160,2560,launch,1
40,2.86745,1452,28160,2560,launch,1
41,2.87462,1452,28160,2560,launch,1
42,2.87552,1452,28160,2560,launch,1
43,2.87443,1452,28160,2560,launch,1
44,2.87472,1452,28160,2560,launch,1
45,2.87332,1452,28160,2560,launch,1
46,2.87356,1452,28160,2560,launch,1
47,2.87535,1452,28160,2560,launch,1
48,2.87469,1452,28160,2560,launch,1
49,2.87597,1452,28160,2560,launch,1
50,2.87363,1452,28160,2560,launch,1
51,2.87532,1452,28160,2560,launch,1
52,2.87511,1452,28160,2560,launch,1
53,2.87424,1452,28160,2560,launch,1
54,2.87278,1452,28160,2560,launch,1
55,2.87565,1452,28160,2560,launch,1
56,2.87173,1452,28160,2560,launch,1
57,2.8738,1452,28160,2560,launch,1
58,2.87289,1452,28160,2560,launch,1
59,2.87342,1452,28160,2560,launch,1
60,2.86796,1452,28160,2560,launch,1
61,2.8713,1452,28160,2560,launch,1
62,2.87086,1452,28160,2560,launch,1
63,2.87483,1452,28160,2560,launch,1
64,2.87201,1452,28160,2560,launch,1
65,2.87346,1452,28160,2560,launch,1
66,2.87335,1452,28160,2560,launch,1
67,2.87454,1452,28160,2560,launch,1
68,2.87087,1452,28160,2560,launch,1
69,2.87304,1452,28160,2560,launch,1
70,2.87114,1452,28160,2560,launch,1
71,2.87194,1452,28160,2560,launch,1
72,2.87221,1452,28160,2560,launch,1
73,2.87339,1452,28160,2560,launch,1
74,2.87214,1452,28160,2560,launch,1
75,2.87235,1452,28160,2560,launch,1
76,2.86998,1452,28160,2560,launch,1
77,2.87257,1452,28160,2560,launch,1
78,2.87259,1452,28160,2560,launch,1
79,2.87292,1452,28160,2560,launch,1
80,2.86673,1452,28160,2560,launch,1
81,2.86896,1452,28160,2560,launch,1
82,2.87406,1452,28160,2560,launch,1
83,2.87017,1452,28160,2560,launch,1
84,2.87216,1452,28160,2560,launch,1
85,2.86867,1452,28160,2560,launch,1
86,2.87196,1452,28160,2560,launch,1
87,2.87169,1452,28160,2560,launch,1
88,2.87605,1452,28160,2560,launch,1
89,2.8694,1452,28160,2560,launch,1
90,2.87114,1452,28160,2560,launch,1
91,2.8714,1452,28160,2560,launch,1
92,2.87156,1452,28160,2560,launch,1
93,2.86999,1452,28160,2560,launch,1
94,2.87108,1452,28160,2560,launch,1
95,2.8688,1452,28160,2560,launch,1
96,2.86972,1452,28160,2560,launch,1
97,2.86955,1452,28160,2560,launch,1
98,2.86964,1452,28160,2560,launch,1
99,2.87051,1452,28160,2560,launch,1
100,2.86424,1452,28160,2560,launch,1
101,2.86988,1452,28160,2560,launch,1
102,2.86663,1452,28160,2560,launch,1
103,2.86974,1452,28160,2560,launch,1
104,2.8721,1452,28160,2560,launch,1
105,2.86881,1452,28160,2560,launch,1
106,2.86762,1452,28160,2560,launch,1
107,2.86726,1452,28160,2560,launch,1
108,2.86748,1452,28160,2560,launch,1
109,2.86873,1452,28160,2560,launch,1
110,2.86843,1452,28160,2560,launch,1
111,2.87046,1452,28160,2560,launch,1
112,2.86934,1452,28160,2560,launch,1
113,2.87071,1452,28160,2560,launch,1
114,2.86656,1452,28160,2560,launch,1
115,2.86983,1452,28160,2560,launch,1
116,2.8686,1452,28160,2560,launch,1
117,2.86971,1452,28160,2560,launch,1
118,2.86971,1452,28160,2560,launch,1
119,2.86714,1452,28160,2560,launch,1
120,2.86469,1452,28160,2560,launch,1
121,2.87102,1452,28160,2560,launch,1
122,2.86763,1452,28160,2560,launch,1
123,2.86666,1452,28160,2560,launch,1
124,2.86837,1452,28160,2560,launch,1
125,2.86827,1452,28160,2560,launch,1
126,2.86875,1452,28160,2560,launch,1
127,2.86925,1452,28160,2560,launch,1
128,2.87053,1452,28160,2560,launch,1
129,2.86894,1452,28160,2560,launch,1
130,2.86827,1452,28160,2560,launch,1
131,2.86649,1452,28160,2560,launch,1
132,2.86784,1452,28160,2560,launch,1
133,2.87087,1452,28160,2560,launch,1
134,2.87193,1452,28160,2560,launch,1
135,2.86801,1452,28160,2560,launch,1
136,2.86962,1452,28160,2560,launch,1
137,2.8708,1452,28160,2560,launch,1
138,2.87088,1452,28160,2560,launch,1
139,2.86861,1452,28160,2560,launch,1
140,2.86479,1452,28160,2560,launch,1
141,2.86578,1452,28160,2560,launch,1
142,2.87029,1452,28160,2560,launch,1
143,2.86849,1452,28160,2560,launch,1
144,2.86866,1452,28160,2560,launch,1
145,2.86888,1452,28160,2560,launch,1
146,2.86771,1452,28160,2560,launch,1
147,2.86884,1452,28160,2560,launch,1
148,2.86841,1452,28160,2560,launch,1
149,2.86883,1452,28160,2560,launch,1
150,2.87142,1452,28160,2560,launch,1
151,2.86875,1452,28160,2560,launch,1
152,2.87172,1452,28160,2560,launch,1
153,2.87251,1452,28160,2560,launch,1
154,2.86767,1452,28160,2560,launch,1
155,2.86873,1452,28160,2560,launch,1
156,2.86928,1452,28160,2560,launch,1
157,2.8703,1452,28160,2560,launch,1
158,2.86846,1452,28160,2560,launch,1
159,2.87087,1452,28160,2560,launch,1
160,2.86344,1452,28160,2560,launch,1
161,2.86693,1452,28160,2560,launch,1
162,2.86859,1452,28160,2560,launch,1
163,2.86741,1452,28160,2560,launch,1
164,2.86628,1452,28160,2560,launch,1
165,2.86673,1452,28160,2560,launch,1
166,2.86576,1452,28160,2560,launch,1
167,2.86902,1452,28160,2560,launch,1
168,2.86713,1452,28160,2560,launch,1
169,2.86631,1452,28160,2560,launch,1
170,2.86709,1452,28160,2560,launch,1
171,2.86608,1452,28160,2560,launch,1
172,2.8672,1452,28160,2560,launch,1
173,2.86492,1452,28160,2560,launch,1
174,2.86811,1452,28160,2560,launch,1
175,2.86528,1452,28160,2560,launch,1
176,2.86466,1452,28160,2560,launch,1
177,2.86532,1452,28160,2560,launch,1
178,2.86424,1452,28160,2560,launch,1
179,2.86416,1452,28160,2560,launch,1
180,2.85979,1452,28160,2560,launch,1
181,2.86553,1452,28160,2560,launch,1
182,2.86793,1452,28160,2560,launch,1
183,2.86579,1452,28160,2560,launch,1
184,2.86783,1452,28160,2560,launch,1
185,2.86669,1452,28160,2560,launch,1
186,2.86837,1452,28160,2560,launch,1
187,2.86469,1452,28160,2560,launch,1
188,2.86663,1452,28160,2560,launch,1
189,2.86667,1452,28160,2560,launch,1
190,2.87117,1452,28160,2560,launch,1
191,2.86871,1452,28160,2560,launch,1
192,2.86957,1452,28160,2560,launch,1
193,2.86714,1452,28160,2560,launch,1
194,2.86938,1452,28160,2560,launch,1
195,2.8714,1452,28160,2560,launch,1
196,2.86774,1452,28160,2560,launch,1
197,2.86568,1452,28160,2560,launch,1
198,2.86425,1452,28160,2560,launch,1
199,2.86664,1452,28160,2560,launch,1
