index,time,kernel,dimension,blocksize,operation
0,0.175992,4900,8960,128,launch
1,0.160413,4900,8960,128,launch
2,0.160436,4900,8960,128,launch
3,0.161786,4900,8960,128,launch
4,0.161949,4900,8960,128,launch
5,0.16194,4900,8960,128,launch
6,0.164965,4900,8960,128,launch
7,0.163357,4900,8960,128,launch
8,0.161979,4900,8960,128,launch
9,0.161965,4900,8960,128,launch
10,0.161956,4900,8960,128,launch
11,0.161954,4900,8960,128,launch
12,0.163043,4900,8960,128,launch
13,0.163484,4900,8960,128,launch
14,0.162285,4900,8960,128,launch
15,0.161963,4900,8960,128,launch
16,0.161914,4900,8960,128,launch
17,0.162516,4900,8960,128,launch
18,0.162848,4900,8960,128,launch
19,0.164182,4900,8960,128,launch
20,0.157598,4900,8960,128,launch
21,0.162172,4900,8960,128,launch
22,0.162159,4900,8960,128,launch
23,0.162135,4900,8960,128,launch
24,0.162142,4900,8960,128,launch
25,0.167043,4900,8960,128,launch
26,0.162745,4900,8960,128,launch
27,0.162117,4900,8960,128,launch
28,0.162054,4900,8960,128,launch
29,0.162094,4900,8960,128,launch
30,0.162225,4900,8960,128,launch
31,0.165155,4900,8960,128,launch
32,0.163444,4900,8960,128,launch
33,0.162123,4900,8960,128,launch
34,0.162072,4900,8960,128,launch
35,0.162068,4900,8960,128,launch
36,0.16272,4900,8960,128,launch
37,0.164722,4900,8960,128,launch
38,0.163632,4900,8960,128,launch
39,0.162359,4900,8960,128,launch
40,0.159031,4900,8960,128,launch
41,0.162353,4900,8960,128,launch
42,0.162345,4900,8960,128,launch
43,0.162353,4900,8960,128,launch
44,0.162334,4900,8960,128,launch
45,0.167362,4900,8960,128,launch
46,0.163578,4900,8960,128,launch
47,0.162265,4900,8960,128,launch
48,0.162261,4900,8960,128,launch
49,0.162284,4900,8960,128,launch
50,0.162463,4900,8960,128,launch
51,0.166277,4900,8960,128,launch
52,0.164712,4900,8960,128,launch
53,0.162559,4900,8960,128,launch
54,0.162283,4900,8960,128,launch
55,0.162322,4900,8960,128,launch
56,0.162462,4900,8960,128,launch
57,0.16561,4900,8960,128,launch
58,0.164302,4900,8960,128,launch
59,0.162499,4900,8960,128,launch
60,0.158781,4900,8960,128,launch
61,0.162898,4900,8960,128,launch
62,0.162052,4900,8960,128,launch
63,0.162111,4900,8960,128,launch
64,0.162089,4900,8960,128,launch
65,0.166365,4900,8960,128,launch
66,0.163436,4900,8960,128,launch
67,0.162031,4900,8960,128,launch
68,0.162047,4900,8960,128,launch
69,0.162052,4900,8960,128,launch
70,0.162723,4900,8960,128,launch
71,0.165234,4900,8960,128,launch
72,0.164193,4900,8960,128,launch
73,0.162085,4900,8960,128,launch
74,0.162013,4900,8960,128,launch
75,0.162022,4900,8960,128,launch
76,0.163283,4900,8960,128,launch
77,0.165027,4900,8960,128,launch
78,0.16448,4900,8960,128,launch
79,0.162707,4900,8960,128,launch
80,0.159464,4900,8960,128,launch
81,0.162405,4900,8960,128,launch
82,0.162151,4900,8960,128,launch
83,0.162151,4900,8960,128,launch
84,0.162196,4900,8960,128,launch
85,0.166674,4900,8960,128,launch
86,0.163729,4900,8960,128,launch
87,0.162509,4900,8960,128,launch
88,0.162168,4900,8960,128,launch
89,0.16218,4900,8960,128,launch
90,0.162571,4900,8960,128,launch
91,0.166279,4900,8960,128,launch
92,0.163723,4900,8960,128,launch
93,0.163112,4900,8960,128,launch
94,0.162353,4900,8960,128,launch
95,0.162203,4900,8960,128,launch
96,0.162915,4900,8960,128,launch
97,0.165035,4900,8960,128,launch
98,0.163764,4900,8960,128,launch
99,0.163619,4900,8960,128,launch
100,0.158974,4900,8960,128,launch
101,0.162144,4900,8960,128,launch
102,0.162087,4900,8960,128,launch
103,0.162064,4900,8960,128,launch
104,0.162077,4900,8960,128,launch
105,0.168365,4900,8960,128,launch
106,0.162397,4900,8960,128,launch
107,0.163683,4900,8960,128,launch
108,0.162082,4900,8960,128,launch
109,0.162122,4900,8960,128,launch
110,0.162614,4900,8960,128,launch
111,0.16704,4900,8960,128,launch
112,0.163225,4900,8960,128,launch
113,0.162469,4900,8960,128,launch
114,0.162115,4900,8960,128,launch
115,0.162113,4900,8960,128,launch
116,0.163136,4900,8960,128,launch
117,0.166242,4900,8960,128,launch
118,0.164749,4900,8960,128,launch
119,0.162122,4900,8960,128,launch
120,0.158692,4900,8960,128,launch
121,0.162672,4900,8960,128,launch
122,0.16244,4900,8960,128,launch
123,0.162339,4900,8960,128,launch
124,0.162326,4900,8960,128,launch
125,0.169423,4900,8960,128,launch
126,0.164551,4900,8960,128,launch
127,0.162421,4900,8960,128,launch
128,0.162394,4900,8960,128,launch
129,0.162363,4900,8960,128,launch
130,0.162774,4900,8960,128,launch
131,0.166155,4900,8960,128,launch
132,0.165426,4900,8960,128,launch
133,0.16428,4900,8960,128,launch
134,0.162443,4900,8960,128,launch
135,0.162434,4900,8960,128,launch
136,0.162685,4900,8960,128,launch
137,0.164472,4900,8960,128,launch
138,0.16541,4900,8960,128,launch
139,0.16465,4900,8960,128,launch
140,0.158335,4900,8960,128,launch
141,0.162335,4900,8960,128,launch
142,0.162118,4900,8960,128,launch
143,0.162078,4900,8960,128,launch
144,0.162109,4900,8960,128,launch
145,0.17047,4900,8960,128,launch
146,0.16283,4900,8960,128,launch
147,0.162505,4900,8960,128,launch
148,0.162122,4900,8960,128,launch
149,0.162122,4900,8960,128,launch
150,0.162855,4900,8960,128,launch
151,0.167638,4900,8960,128,launch
152,0.163854,4900,8960,128,launch
153,0.162102,4900,8960,128,launch
154,0.162137,4900,8960,128,launch
155,0.162099,4900,8960,128,launch
156,0.164339,4900,8960,128,launch
157,0.165488,4900,8960,128,launch
158,0.164588,4900,8960,128,launch
159,0.162288,4900,8960,128,launch
160,0.158264,4900,8960,128,launch
161,0.163004,4900,8960,128,launch
162,0.162023,4900,8960,128,launch
163,0.161997,4900,8960,128,launch
164,0.16205,4900,8960,128,launch
165,0.168359,4900,8960,128,launch
166,0.16388,4900,8960,128,launch
167,0.162059,4900,8960,128,launch
168,0.162019,4900,8960,128,launch
169,0.162048,4900,8960,128,launch
170,0.162904,4900,8960,128,launch
171,0.167474,4900,8960,128,launch
172,0.164199,4900,8960,128,launch
173,0.162911,4900,8960,128,launch
174,0.162045,4900,8960,128,launch
175,0.162051,4900,8960,128,launch
176,0.16331,4900,8960,128,launch
177,0.166576,4900,8960,128,launch
178,0.16526,4900,8960,128,launch
179,0.162064,4900,8960,128,launch
180,0.157849,4900,8960,128,launch
181,0.162582,4900,8960,128,launch
182,0.162125,4900,8960,128,launch
183,0.162143,4900,8960,128,launch
184,0.163307,4900,8960,128,launch
185,0.170122,4900,8960,128,launch
186,0.163569,4900,8960,128,launch
187,0.162225,4900,8960,128,launch
188,0.162213,4900,8960,128,launch
189,0.162208,4900,8960,128,launch
190,0.163526,4900,8960,128,launch
191,0.166729,4900,8960,128,launch
192,0.164904,4900,8960,128,launch
193,0.16235,4900,8960,128,launch
194,0.1622,4900,8960,128,launch
195,0.16217,4900,8960,128,launch
196,0.164308,4900,8960,128,launch
197,0.165072,4900,8960,128,launch
198,0.165321,4900,8960,128,launch
199,0.164461,4900,8960,128,launch
