index,time,kernel,dimension,blocksize,operation,cudagraph
0,7.88074,13456,37120,320,launch,0
1,7.93316,13456,37120,320,launch,0
2,7.96426,13456,37120,320,launch,0
3,7.99089,13456,37120,320,launch,0
4,8.01044,13456,37120,320,launch,0
5,8.03393,13456,37120,320,launch,0
6,8.04869,13456,37120,320,launch,0
7,8.05906,13456,37120,320,launch,0
8,8.07156,13456,37120,320,launch,0
9,8.07818,13456,37120,320,launch,0
10,8.08534,13456,37120,320,launch,0
11,8.09024,13456,37120,320,launch,0
12,8.09796,13456,37120,320,launch,0
13,8.09798,13456,37120,320,launch,0
14,8.10038,13456,37120,320,launch,0
15,8.10588,13456,37120,320,launch,0
16,8.10448,13456,37120,320,launch,0
17,8.10596,13456,37120,320,launch,0
18,8.10472,13456,37120,320,launch,0
19,8.10612,13456,37120,320,launch,0
20,8.10507,13456,37120,320,launch,0
21,8.10434,13456,37120,320,launch,0
22,8.10338,13456,37120,320,launch,0
23,8.10141,13456,37120,320,launch,0
24,8.0995,13456,37120,320,launch,0
25,8.10089,13456,37120,320,launch,0
26,8.09845,13456,37120,320,launch,0
27,8.09822,13456,37120,320,launch,0
28,8.09321,13456,37120,320,launch,0
29,8.09132,13456,37120,320,launch,0
30,8.09004,13456,37120,320,launch,0
31,8.08933,13456,37120,320,launch,0
32,8.08616,13456,37120,320,launch,0
33,8.08665,13456,37120,320,launch,0
34,8.08477,13456,37120,320,launch,0
35,8.08591,13456,37120,320,launch,0
36,8.08619,13456,37120,320,launch,0
37,8.08241,13456,37120,320,launch,0
38,8.08382,13456,37120,320,launch,0
39,8.08232,13456,37120,320,launch,0
40,8.08345,13456,37120,320,launch,0
41,8.08392,13456,37120,320,launch,0
42,8.0826,13456,37120,320,launch,0
43,8.08173,13456,37120,320,launch,0
44,8.08402,13456,37120,320,launch,0
45,8.08276,13456,37120,320,launch,0
46,8.08244,13456,37120,320,launch,0
47,8.08074,13456,37120,320,launch,0
48,8.08275,13456,37120,320,launch,0
49,8.08395,13456,37120,320,launch,0
50,8.08245,13456,37120,320,launch,0
51,8.0831,13456,37120,320,launch,0
52,8.08442,13456,37120,320,launch,0
53,8.08243,13456,37120,320,launch,0
54,8.08423,13456,37120,320,launch,0
55,8.0809,13456,37120,320,launch,0
56,8.08089,13456,37120,320,launch,0
57,8.08348,13456,37120,320,launch,0
58,8.07944,13456,37120,320,launch,0
59,8.08234,13456,37120,320,launch,0
60,8.08227,13456,37120,320,launch,0
61,8.07988,13456,37120,320,launch,0
62,8.08238,13456,37120,320,launch,0
63,8.08311,13456,37120,320,launch,0
64,8.08241,13456,37120,320,launch,0
65,8.08178,13456,37120,320,launch,0
66,8.08553,13456,37120,320,launch,0
67,8.08378,13456,37120,320,launch,0
68,8.08354,13456,37120,320,launch,0
69,8.08332,13456,37120,320,launch,0
70,8.08217,13456,37120,320,launch,0
71,8.08535,13456,37120,320,launch,0
72,8.08229,13456,37120,320,launch,0
73,8.08197,13456,37120,320,launch,0
74,8.08354,13456,37120,320,launch,0
75,8.08413,13456,37120,320,launch,0
76,8.0836,13456,37120,320,launch,0
77,8.08402,13456,37120,320,launch,0
78,8.08515,13456,37120,320,launch,0
79,8.08316,13456,37120,320,launch,0
80,8.08466,13456,37120,320,launch,0
81,8.0826,13456,37120,320,launch,0
82,8.08581,13456,37120,320,launch,0
83,8.08358,13456,37120,320,launch,0
84,8.08544,13456,37120,320,launch,0
85,8.08494,13456,37120,320,launch,0
86,8.08483,13456,37120,320,launch,0
87,8.08467,13456,37120,320,launch,0
88,8.08415,13456,37120,320,launch,0
89,8.08584,13456,37120,320,launch,0
90,8.08766,13456,37120,320,launch,0
91,8.08567,13456,37120,320,launch,0
92,8.08619,13456,37120,320,launch,0
93,8.08523,13456,37120,320,launch,0
94,8.08674,13456,37120,320,launch,0
95,8.08379,13456,37120,320,launch,0
96,8.08685,13456,37120,320,launch,0
97,8.08445,13456,37120,320,launch,0
98,8.08925,13456,37120,320,launch,0
99,8.08486,13456,37120,320,launch,0
100,8.08523,13456,37120,320,launch,0
101,8.08221,13456,37120,320,launch,0
102,8.08425,13456,37120,320,launch,0
103,8.08343,13456,37120,320,launch,0
104,8.0832,13456,37120,320,launch,0
105,8.08756,13456,37120,320,launch,0
106,8.08509,13456,37120,320,launch,0
107,8.08769,13456,37120,320,launch,0
108,8.08748,13456,37120,320,launch,0
109,8.08499,13456,37120,320,launch,0
110,8.08643,13456,37120,320,launch,0
111,8.08731,13456,37120,320,launch,0
112,8.08795,13456,37120,320,launch,0
113,8.08785,13456,37120,320,launch,0
114,8.08525,13456,37120,320,launch,0
115,8.08806,13456,37120,320,launch,0
116,8.08736,13456,37120,320,launch,0
117,8.08466,13456,37120,320,launch,0
118,8.08963,13456,37120,320,launch,0
119,8.08591,13456,37120,320,launch,0
120,8.08772,13456,37120,320,launch,0
121,8.08477,13456,37120,320,launch,0
122,8.08498,13456,37120,320,launch,0
123,8.08644,13456,37120,320,launch,0
124,8.08462,13456,37120,320,launch,0
125,8.08318,13456,37120,320,launch,0
126,8.08625,13456,37120,320,launch,0
127,8.08391,13456,37120,320,launch,0
128,8.08438,13456,37120,320,launch,0
129,8.08296,13456,37120,320,launch,0
130,8.08448,13456,37120,320,launch,0
131,8.08348,13456,37120,320,launch,0
132,8.08356,13456,37120,320,launch,0
133,8.08387,13456,37120,320,launch,0
134,8.08514,13456,37120,320,launch,0
135,8.0828,13456,37120,320,launch,0
136,8.08351,13456,37120,320,launch,0
137,8.08267,13456,37120,320,launch,0
138,8.08385,13456,37120,320,launch,0
139,8.08167,13456,37120,320,launch,0
140,8.08243,13456,37120,320,launch,0
141,8.08294,13456,37120,320,launch,0
142,8.08383,13456,37120,320,launch,0
143,8.08246,13456,37120,320,launch,0
144,8.08322,13456,37120,320,launch,0
145,8.08222,13456,37120,320,launch,0
146,8.08184,13456,37120,320,launch,0
147,8.08387,13456,37120,320,launch,0
148,8.08226,13456,37120,320,launch,0
149,8.08066,13456,37120,320,launch,0
150,8.08469,13456,37120,320,launch,0
151,8.08447,13456,37120,320,launch,0
152,8.08099,13456,37120,320,launch,0
153,8.08366,13456,37120,320,launch,0
154,8.08136,13456,37120,320,launch,0
155,8.08196,13456,37120,320,launch,0
156,8.08135,13456,37120,320,launch,0
157,8.08225,13456,37120,320,launch,0
158,8.08484,13456,37120,320,launch,0
159,8.08362,13456,37120,320,launch,0
160,8.08211,13456,37120,320,launch,0
161,8.08153,13456,37120,320,launch,0
162,8.08336,13456,37120,320,launch,0
163,8.08239,13456,37120,320,launch,0
164,8.08307,13456,37120,320,launch,0
165,8.08671,13456,37120,320,launch,0
166,8.08492,13456,37120,320,launch,0
167,8.08447,13456,37120,320,launch,0
168,8.08537,13456,37120,320,launch,0
169,8.08227,13456,37120,320,launch,0
170,8.08364,13456,37120,320,launch,0
171,8.08287,13456,37120,320,launch,0
172,8.08419,13456,37120,320,launch,0
173,8.0846,13456,37120,320,launch,0
174,8.08527,13456,37120,320,launch,0
175,8.08523,13456,37120,320,launch,0
176,8.08502,13456,37120,320,launch,0
177,8.08488,13456,37120,320,launch,0
178,8.08265,13456,37120,320,launch,0
179,8.08536,13456,37120,320,launch,0
180,8.08645,13456,37120,320,launch,0
181,8.0837,13456,37120,320,launch,0
182,8.08407,13456,37120,320,launch,0
183,8.08731,13456,37120,320,launch,0
184,8.08584,13456,37120,320,launch,0
185,8.08526,13456,37120,320,launch,0
186,8.08304,13456,37120,320,launch,0
187,8.08595,13456,37120,320,launch,0
188,8.08478,13456,37120,320,launch,0
189,8.08529,13456,37120,320,launch,0
190,8.08713,13456,37120,320,launch,0
191,8.08577,13456,37120,320,launch,0
192,8.08681,13456,37120,320,launch,0
