index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,1.79522,4,23040,11520,launch,0
1,1.79527,4,23040,11520,launch,0
2,1.8857,4,23040,11520,launch,0
3,1.75175,4,23040,11520,launch,0
4,1.76751,4,23040,11520,launch,0
5,1.76674,4,23040,11520,launch,0
6,1.67108,4,23040,11520,launch,0
7,1.74064,4,23040,11520,launch,0
8,1.81384,4,23040,11520,launch,0
9,1.69866,4,23040,11520,launch,0
10,1.67469,4,23040,11520,launch,0
11,1.7658,4,23040,11520,launch,0
12,1.84078,4,23040,11520,launch,0
13,1.90172,4,23040,11520,launch,0
14,1.84998,4,23040,11520,launch,0
15,1.82632,4,23040,11520,launch,0
16,1.80276,4,23040,11520,launch,0
17,1.82067,4,23040,11520,launch,0
18,1.68587,4,23040,11520,launch,0
19,1.72296,4,23040,11520,launch,0
20,1.68948,4,23040,11520,launch,0
21,1.73203,4,23040,11520,launch,0
22,1.74622,4,23040,11520,launch,0
23,1.69391,4,23040,11520,launch,0
24,1.69474,4,23040,11520,launch,0
25,1.6925,4,23040,11520,launch,0
26,1.78678,4,23040,11520,launch,0
27,1.77095,4,23040,11520,launch,0
28,1.77743,4,23040,11520,launch,0
29,1.76593,4,23040,11520,launch,0
30,1.69986,4,23040,11520,launch,0
31,1.70165,4,23040,11520,launch,0
32,1.69886,4,23040,11520,launch,0
33,1.70143,4,23040,11520,launch,0
34,1.69939,4,23040,11520,launch,0
35,1.79135,4,23040,11520,launch,0
36,1.76799,4,23040,11520,launch,0
37,1.88032,4,23040,11520,launch,0
38,1.70662,4,23040,11520,launch,0
39,1.70168,4,23040,11520,launch,0
40,1.70269,4,23040,11520,launch,0
41,1.77556,4,23040,11520,launch,0
42,1.80069,4,23040,11520,launch,0
43,1.81843,4,23040,11520,launch,0
44,1.76789,4,23040,11520,launch,0
45,1.74474,4,23040,11520,launch,0
46,1.73125,4,23040,11520,launch,0
47,1.72548,4,23040,11520,launch,0
48,1.82163,4,23040,11520,launch,0
49,1.81751,4,23040,11520,launch,0
50,1.76901,4,23040,11520,launch,0
51,1.70682,4,23040,11520,launch,0
52,1.70824,4,23040,11520,launch,0
53,1.71027,4,23040,11520,launch,0
54,1.76753,4,23040,11520,launch,0
55,1.79081,4,23040,11520,launch,0
56,1.80111,4,23040,11520,launch,0
57,1.80736,4,23040,11520,launch,0
58,1.8028,4,23040,11520,launch,0
59,1.71392,4,23040,11520,launch,0
60,1.71054,4,23040,11520,launch,0
61,1.71169,4,23040,11520,launch,0
62,1.73806,4,23040,11520,launch,0
63,1.78537,4,23040,11520,launch,0
64,1.71217,4,23040,11520,launch,0
65,1.70862,4,23040,11520,launch,0
66,1.71229,4,23040,11520,launch,0
67,1.77513,4,23040,11520,launch,0
68,1.71217,4,23040,11520,launch,0
69,1.71284,4,23040,11520,launch,0
70,1.72465,4,23040,11520,launch,0
71,1.71,4,23040,11520,launch,0
72,1.71099,4,23040,11520,launch,0
73,1.71581,4,23040,11520,launch,0
74,1.71216,4,23040,11520,launch,0
75,1.71133,4,23040,11520,launch,0
76,1.84851,4,23040,11520,launch,0
77,1.82943,4,23040,11520,launch,0
78,1.80642,4,23040,11520,launch,0
79,1.88344,4,23040,11520,launch,0
80,1.74175,4,23040,11520,launch,0
81,1.71134,4,23040,11520,launch,0
82,1.7116,4,23040,11520,launch,0
83,1.72449,4,23040,11520,launch,0
84,1.7341,4,23040,11520,launch,0
85,1.78926,4,23040,11520,launch,0
86,1.70928,4,23040,11520,launch,0
87,1.8103,4,23040,11520,launch,0
88,1.7792,4,23040,11520,launch,0
89,1.76347,4,23040,11520,launch,0
90,1.71172,4,23040,11520,launch,0
91,1.7805,4,23040,11520,launch,0
92,1.84711,4,23040,11520,launch,0
93,1.94781,4,23040,11520,launch,0
94,1.77062,4,23040,11520,launch,0
95,1.71683,4,23040,11520,launch,0
96,1.71859,4,23040,11520,launch,0
97,1.70804,4,23040,11520,launch,0
98,1.7103,4,23040,11520,launch,0
99,1.71762,4,23040,11520,launch,0
100,1.8039,4,23040,11520,launch,0
101,1.77775,4,23040,11520,launch,0
102,1.75579,4,23040,11520,launch,0
103,1.79119,4,23040,11520,launch,0
104,1.71412,4,23040,11520,launch,0
105,1.70994,4,23040,11520,launch,0
106,1.79528,4,23040,11520,launch,0
107,1.72577,4,23040,11520,launch,0
108,1.75193,4,23040,11520,launch,0
109,1.76222,4,23040,11520,launch,0
110,1.70778,4,23040,11520,launch,0
111,1.70713,4,23040,11520,launch,0
112,1.70826,4,23040,11520,launch,0
113,1.70826,4,23040,11520,launch,0
114,1.84501,4,23040,11520,launch,0
115,1.84521,4,23040,11520,launch,0
116,1.86025,4,23040,11520,launch,0
117,1.81241,4,23040,11520,launch,0
118,1.71957,4,23040,11520,launch,0
119,1.88472,4,23040,11520,launch,0
120,1.9439,4,23040,11520,launch,0
121,1.79909,4,23040,11520,launch,0
122,1.71534,4,23040,11520,launch,0
123,1.77689,4,23040,11520,launch,0
124,1.73306,4,23040,11520,launch,0
125,1.76174,4,23040,11520,launch,0
126,1.93467,4,23040,11520,launch,0
127,1.847,4,23040,11520,launch,0
128,1.87273,4,23040,11520,launch,0
129,1.76529,4,23040,11520,launch,0
130,1.86619,4,23040,11520,launch,0
131,1.79334,4,23040,11520,launch,0
132,1.70599,4,23040,11520,launch,0
133,1.74563,4,23040,11520,launch,0
134,1.77537,4,23040,11520,launch,0
135,1.76896,4,23040,11520,launch,0
136,1.75124,4,23040,11520,launch,0
137,1.85433,4,23040,11520,launch,0
138,1.707,4,23040,11520,launch,0
139,1.70498,4,23040,11520,launch,0
140,1.70609,4,23040,11520,launch,0
141,1.75089,4,23040,11520,launch,0
142,1.7091,4,23040,11520,launch,0
143,1.704,4,23040,11520,launch,0
144,1.82589,4,23040,11520,launch,0
145,1.79326,4,23040,11520,launch,0
146,1.76202,4,23040,11520,launch,0
147,1.73149,4,23040,11520,launch,0
148,1.77746,4,23040,11520,launch,0
149,1.77323,4,23040,11520,launch,0
150,1.81977,4,23040,11520,launch,0
151,1.71598,4,23040,11520,launch,0
152,1.79579,4,23040,11520,launch,0
153,1.73291,4,23040,11520,launch,0
154,1.81523,4,23040,11520,launch,0
155,1.79781,4,23040,11520,launch,0
156,1.70931,4,23040,11520,launch,0
157,1.70997,4,23040,11520,launch,0
158,1.83122,4,23040,11520,launch,0
159,1.76918,4,23040,11520,launch,0
160,1.87991,4,23040,11520,launch,0
161,1.70814,4,23040,11520,launch,0
162,1.71904,4,23040,11520,launch,0
163,1.87656,4,23040,11520,launch,0
164,1.70828,4,23040,11520,launch,0
165,1.70366,4,23040,11520,launch,0
166,1.70598,4,23040,11520,launch,0
167,1.70583,4,23040,11520,launch,0
168,1.70467,4,23040,11520,launch,0
169,1.70416,4,23040,11520,launch,0
170,1.81729,4,23040,11520,launch,0
171,1.70792,4,23040,11520,launch,0
172,1.70824,4,23040,11520,launch,0
173,1.70632,4,23040,11520,launch,0
174,1.70443,4,23040,11520,launch,0
175,1.70425,4,23040,11520,launch,0
176,1.7033,4,23040,11520,launch,0
177,1.70331,4,23040,11520,launch,0
178,1.70333,4,23040,11520,launch,0
179,1.70332,4,23040,11520,launch,0
180,1.70331,4,23040,11520,launch,0
181,1.70332,4,23040,11520,launch,0
182,1.7033,4,23040,11520,launch,0
183,1.70332,4,23040,11520,launch,0
184,1.70331,4,23040,11520,launch,0
185,1.7033,4,23040,11520,launch,0
186,1.70331,4,23040,11520,launch,0
187,1.70274,4,23040,11520,launch,0
188,1.70413,4,23040,11520,launch,0
189,1.70274,4,23040,11520,launch,0
190,1.70304,4,23040,11520,launch,0
191,1.7036,4,23040,11520,launch,0
192,1.70276,4,23040,11520,launch,0
193,1.70416,4,23040,11520,launch,0
194,1.70275,4,23040,11520,launch,0
195,1.7144,4,23040,11520,launch,0
196,1.77145,4,23040,11520,launch,0
197,1.71098,4,23040,11520,launch,0
198,1.70764,4,23040,11520,launch,0
199,1.70369,4,23040,11520,launch,0
