index,time,kernel,dimension,blocksize,operation,cudagraph
0,1.4838,4,20480,10240,launch,0
1,1.47898,4,20480,10240,launch,0
2,1.47561,4,20480,10240,launch,0
3,1.48657,4,20480,10240,launch,0
4,1.4836,4,20480,10240,launch,0
5,1.49013,4,20480,10240,launch,0
6,1.48453,4,20480,10240,launch,0
7,1.49074,4,20480,10240,launch,0
8,1.49871,4,20480,10240,launch,0
9,1.49194,4,20480,10240,launch,0
10,1.49972,4,20480,10240,launch,0
11,1.49682,4,20480,10240,launch,0
12,1.50113,4,20480,10240,launch,0
13,1.48202,4,20480,10240,launch,0
14,1.48862,4,20480,10240,launch,0
15,1.49059,4,20480,10240,launch,0
16,1.49334,4,20480,10240,launch,0
17,1.48944,4,20480,10240,launch,0
18,1.4967,4,20480,10240,launch,0
19,1.49228,4,20480,10240,launch,0
20,1.50365,4,20480,10240,launch,0
21,1.49479,4,20480,10240,launch,0
22,1.49748,4,20480,10240,launch,0
23,1.503,4,20480,10240,launch,0
24,1.49866,4,20480,10240,launch,0
25,1.50994,4,20480,10240,launch,0
26,1.50659,4,20480,10240,launch,0
27,1.50986,4,20480,10240,launch,0
28,1.51386,4,20480,10240,launch,0
29,1.5101,4,20480,10240,launch,0
30,1.50951,4,20480,10240,launch,0
31,1.51439,4,20480,10240,launch,0
32,1.51491,4,20480,10240,launch,0
33,1.51654,4,20480,10240,launch,0
34,1.51611,4,20480,10240,launch,0
35,1.51909,4,20480,10240,launch,0
36,1.51875,4,20480,10240,launch,0
37,1.52446,4,20480,10240,launch,0
38,1.51817,4,20480,10240,launch,0
39,1.52421,4,20480,10240,launch,0
40,1.52221,4,20480,10240,launch,0
41,1.52469,4,20480,10240,launch,0
42,1.52771,4,20480,10240,launch,0
43,1.52556,4,20480,10240,launch,0
44,1.53118,4,20480,10240,launch,0
45,1.52038,4,20480,10240,launch,0
46,1.52746,4,20480,10240,launch,0
47,1.52628,4,20480,10240,launch,0
48,1.52326,4,20480,10240,launch,0
49,1.52722,4,20480,10240,launch,0
50,1.526,4,20480,10240,launch,0
51,1.52839,4,20480,10240,launch,0
52,1.53086,4,20480,10240,launch,0
53,1.52973,4,20480,10240,launch,0
54,1.52736,4,20480,10240,launch,0
55,1.5209,4,20480,10240,launch,0
56,1.51312,4,20480,10240,launch,0
57,1.513,4,20480,10240,launch,0
58,1.51182,4,20480,10240,launch,0
59,1.52063,4,20480,10240,launch,0
60,1.51573,4,20480,10240,launch,0
61,1.51462,4,20480,10240,launch,0
62,1.51339,4,20480,10240,launch,0
63,1.52191,4,20480,10240,launch,0
64,1.51898,4,20480,10240,launch,0
65,1.51972,4,20480,10240,launch,0
66,1.52078,4,20480,10240,launch,0
67,1.51732,4,20480,10240,launch,0
68,1.51595,4,20480,10240,launch,0
69,1.51998,4,20480,10240,launch,0
70,1.52098,4,20480,10240,launch,0
71,1.52003,4,20480,10240,launch,0
72,1.51964,4,20480,10240,launch,0
73,1.52699,4,20480,10240,launch,0
74,1.51945,4,20480,10240,launch,0
75,1.52262,4,20480,10240,launch,0
76,1.52552,4,20480,10240,launch,0
77,1.52407,4,20480,10240,launch,0
78,1.52207,4,20480,10240,launch,0
79,1.52305,4,20480,10240,launch,0
80,1.52482,4,20480,10240,launch,0
81,1.52265,4,20480,10240,launch,0
82,1.52363,4,20480,10240,launch,0
83,1.52664,4,20480,10240,launch,0
84,1.5233,4,20480,10240,launch,0
85,1.52375,4,20480,10240,launch,0
86,1.52713,4,20480,10240,launch,0
87,1.52173,4,20480,10240,launch,0
88,1.52247,4,20480,10240,launch,0
89,1.52534,4,20480,10240,launch,0
90,1.52431,4,20480,10240,launch,0
91,1.52519,4,20480,10240,launch,0
92,1.52551,4,20480,10240,launch,0
93,1.52195,4,20480,10240,launch,0
94,1.52185,4,20480,10240,launch,0
95,1.52903,4,20480,10240,launch,0
96,1.52117,4,20480,10240,launch,0
97,1.527,4,20480,10240,launch,0
98,1.52501,4,20480,10240,launch,0
99,1.52801,4,20480,10240,launch,0
100,1.52479,4,20480,10240,launch,0
101,1.52214,4,20480,10240,launch,0
102,1.52095,4,20480,10240,launch,0
103,1.52682,4,20480,10240,launch,0
104,1.53001,4,20480,10240,launch,0
105,1.52588,4,20480,10240,launch,0
106,1.52644,4,20480,10240,launch,0
107,1.52363,4,20480,10240,launch,0
108,1.52778,4,20480,10240,launch,0
109,1.51565,4,20480,10240,launch,0
110,1.52663,4,20480,10240,launch,0
