index,time,kernel,dimension,blocksize,operation,cudagraph
158,6.61886,9,34560,11520,launch,0
159,6.79474,9,34560,11520,launch,0
160,6.43302,9,34560,11520,launch,0
161,6.1294,9,34560,11520,launch,0
162,6.74483,9,34560,11520,launch,0
163,7.04541,9,34560,11520,launch,0
164,6.65462,9,34560,11520,launch,0
165,6.69656,9,34560,11520,launch,0
166,6.5869,9,34560,11520,launch,0
167,6.20289,9,34560,11520,launch,0
168,6.811,9,34560,11520,launch,0
169,6.52221,9,34560,11520,launch,0
170,6.59417,9,34560,11520,launch,0
171,6.67278,9,34560,11520,launch,0
172,6.88034,9,34560,11520,launch,0
173,6.89484,9,34560,11520,launch,0
174,6.73105,9,34560,11520,launch,0
175,6.83895,9,34560,11520,launch,0
176,6.18493,9,34560,11520,launch,0
177,6.48995,9,34560,11520,launch,0
178,6.63244,9,34560,11520,launch,0
179,6.60067,9,34560,11520,launch,0
180,6.672,9,34560,11520,launch,0
181,7.13024,9,34560,11520,launch,0
182,6.87665,9,34560,11520,launch,0
183,6.21667,9,34560,11520,launch,0
184,6.73862,9,34560,11520,launch,0
185,6.43201,9,34560,11520,launch,0
186,6.65548,9,34560,11520,launch,0
187,6.3353,9,34560,11520,launch,0
188,6.70608,9,34560,11520,launch,0
189,6.4936,9,34560,11520,launch,0
190,6.46522,9,34560,11520,launch,0
191,6.61243,9,34560,11520,launch,0
192,6.535,9,34560,11520,launch,0
193,6.40002,9,34560,11520,launch,0
194,6.90961,9,34560,11520,launch,0
195,6.94659,9,34560,11520,launch,0
196,6.61969,9,34560,11520,launch,0
197,6.31866,9,34560,11520,launch,0
198,6.648,9,34560,11520,launch,0
199,6.84976,9,34560,11520,launch,0
