index,time,kernel,dimension,blocksize,operation
12,4.04278,625,32000,1280,launch
12,4.55146,2500,32000,640,launch
12,5.688,15625,32000,256,launch
12,5.86292,10000,32000,320,launch
12,6.48886,62500,32000,128,launch
13,4.0451,625,32000,1280,launch
13,4.55571,2500,32000,640,launch
13,5.69055,15625,32000,256,launch
13,5.86547,10000,32000,320,launch
13,6.49587,62500,32000,128,launch
14,4.04948,625,32000,1280,launch
14,4.55785,2500,32000,640,launch
14,5.69131,15625,32000,256,launch
14,5.8721,10000,32000,320,launch
14,6.50272,62500,32000,128,launch
15,4.05269,625,32000,1280,launch
15,4.56047,2500,32000,640,launch
15,5.69503,15625,32000,256,launch
15,5.87119,10000,32000,320,launch
15,6.50487,62500,32000,128,launch
16,4.05409,625,32000,1280,launch
16,4.56397,2500,32000,640,launch
16,5.69975,15625,32000,256,launch
16,5.87305,10000,32000,320,launch
16,6.51129,62500,32000,128,launch
17,4.05628,625,32000,1280,launch
17,4.56501,2500,32000,640,launch
17,5.7003,15625,32000,256,launch
17,5.87469,10000,32000,320,launch
17,6.51606,62500,32000,128,launch
18,4.05799,625,32000,1280,launch
18,4.57001,2500,32000,640,launch
18,5.70232,15625,32000,256,launch
18,5.87724,10000,32000,320,launch
18,6.51703,62500,32000,128,launch
19,4.06051,625,32000,1280,launch
19,4.56671,2500,32000,640,launch
19,5.70318,15625,32000,256,launch
19,5.87989,10000,32000,320,launch
19,6.51958,62500,32000,128,launch
20,4.06222,625,32000,1280,launch
20,4.56238,2500,32000,640,launch
20,5.69496,15625,32000,256,launch
20,5.86654,10000,32000,320,launch
20,6.50636,62500,32000,128,launch
21,4.06428,625,32000,1280,launch
21,4.57038,2500,32000,640,launch
21,5.70265,15625,32000,256,launch
21,5.87825,10000,32000,320,launch
21,6.51643,62500,32000,128,launch
22,4.066,625,32000,1280,launch
22,4.57038,2500,32000,640,launch
22,5.70235,15625,32000,256,launch
22,5.87932,10000,32000,320,launch
22,6.51763,62500,32000,128,launch
23,4.06679,625,32000,1280,launch
23,4.57229,2500,32000,640,launch
23,5.70054,15625,32000,256,launch
23,5.87702,10000,32000,320,launch
23,6.52163,62500,32000,128,launch
24,4.06946,625,32000,1280,launch
24,4.57166,2500,32000,640,launch
24,5.69852,15625,32000,256,launch
24,5.87832,10000,32000,320,launch
24,6.52091,62500,32000,128,launch
25,4.06731,625,32000,1280,launch
25,4.57352,2500,32000,640,launch
25,5.70066,15625,32000,256,launch
25,5.87639,10000,32000,320,launch
25,6.52108,62500,32000,128,launch
26,4.06581,625,32000,1280,launch
26,4.57353,2500,32000,640,launch
26,5.69486,15625,32000,256,launch
26,5.87848,10000,32000,320,launch
26,6.52158,62500,32000,128,launch
27,4.06955,625,32000,1280,launch
27,4.57314,2500,32000,640,launch
27,5.69404,15625,32000,256,launch
27,5.87969,10000,32000,320,launch
27,6.52213,62500,32000,128,launch
28,4.06761,625,32000,1280,launch
28,4.5716,2500,32000,640,launch
28,5.69374,15625,32000,256,launch
28,5.8784,10000,32000,320,launch
28,6.52248,62500,32000,128,launch
29,4.06878,625,32000,1280,launch
29,4.57078,2500,32000,640,launch
29,5.69227,15625,32000,256,launch
29,5.87781,10000,32000,320,launch
29,6.5223,62500,32000,128,launch
30,4.0684,625,32000,1280,launch
30,4.57025,2500,32000,640,launch
30,5.69092,15625,32000,256,launch
30,5.87633,10000,32000,320,launch
30,6.52484,62500,32000,128,launch
31,4.06895,625,32000,1280,launch
31,4.57179,2500,32000,640,launch
31,5.69092,15625,32000,256,launch
31,5.8781,10000,32000,320,launch
31,6.52336,62500,32000,128,launch
32,4.06646,625,32000,1280,launch
32,4.57111,2500,32000,640,launch
32,5.69096,15625,32000,256,launch
32,5.87664,10000,32000,320,launch
32,6.52106,62500,32000,128,launch
33,4.06782,625,32000,1280,launch
33,4.56738,2500,32000,640,launch
33,5.69136,15625,32000,256,launch
33,5.87547,10000,32000,320,launch
33,6.52347,62500,32000,128,launch
34,4.06703,625,32000,1280,launch
34,4.56736,2500,32000,640,launch
34,5.69091,15625,32000,256,launch
34,5.8756,10000,32000,320,launch
34,6.52173,62500,32000,128,launch
35,4.06613,625,32000,1280,launch
35,4.56794,2500,32000,640,launch
35,5.69131,15625,32000,256,launch
35,5.87438,10000,32000,320,launch
35,6.52201,62500,32000,128,launch
36,4.06452,625,32000,1280,launch
36,4.56651,2500,32000,640,launch
36,5.69119,15625,32000,256,launch
36,5.87555,10000,32000,320,launch
36,6.52034,62500,32000,128,launch
37,4.06614,625,32000,1280,launch
37,4.5665,2500,32000,640,launch
37,5.6901,15625,32000,256,launch
37,5.87422,10000,32000,320,launch
37,6.52234,62500,32000,128,launch
38,4.06448,625,32000,1280,launch
38,4.56617,2500,32000,640,launch
38,5.69,15625,32000,256,launch
38,5.87239,10000,32000,320,launch
38,6.51961,62500,32000,128,launch
39,4.06345,625,32000,1280,launch
39,4.56451,2500,32000,640,launch
39,5.68778,15625,32000,256,launch
39,5.87411,10000,32000,320,launch
39,6.52084,62500,32000,128,launch
40,4.06501,625,32000,1280,launch
40,4.55842,2500,32000,640,launch
40,5.68003,15625,32000,256,launch
40,5.85816,10000,32000,320,launch
41,4.06347,625,32000,1280,launch
41,4.56559,2500,32000,640,launch
41,5.68597,15625,32000,256,launch
41,5.87031,10000,32000,320,launch
42,4.0653,625,32000,1280,launch
42,4.56254,2500,32000,640,launch
42,5.68701,15625,32000,256,launch
42,5.86888,10000,32000,320,launch
43,4.06206,625,32000,1280,launch
43,4.56397,2500,32000,640,launch
43,5.68599,15625,32000,256,launch
43,5.86712,10000,32000,320,launch
44,4.06374,625,32000,1280,launch
44,4.56097,2500,32000,640,launch
44,5.68482,15625,32000,256,launch
44,5.86711,10000,32000,320,launch
45,4.06335,625,32000,1280,launch
45,4.56485,2500,32000,640,launch
45,5.68457,15625,32000,256,launch
45,5.86633,10000,32000,320,launch
46,4.06009,625,32000,1280,launch
46,4.55919,2500,32000,640,launch
46,5.68341,15625,32000,256,launch
46,5.86995,10000,32000,320,launch
47,4.062,625,32000,1280,launch
47,4.56193,2500,32000,640,launch
47,5.68197,15625,32000,256,launch
47,5.86751,10000,32000,320,launch
48,4.0615,625,32000,1280,launch
48,4.5581,2500,32000,640,launch
48,5.68112,15625,32000,256,launch
48,5.8677,10000,32000,320,launch
49,4.05999,625,32000,1280,launch
49,4.56,2500,32000,640,launch
49,5.68151,15625,32000,256,launch
49,5.86666,10000,32000,320,launch
50,4.06182,625,32000,1280,launch
50,4.56038,2500,32000,640,launch
50,5.68134,15625,32000,256,launch
50,5.86292,10000,32000,320,launch
51,4.06067,625,32000,1280,launch
51,4.55842,2500,32000,640,launch
51,5.68125,15625,32000,256,launch
51,5.86499,10000,32000,320,launch
52,4.05861,625,32000,1280,launch
52,4.55841,2500,32000,640,launch
52,5.67873,15625,32000,256,launch
52,5.8645,10000,32000,320,launch
53,4.06117,625,32000,1280,launch
53,4.55798,2500,32000,640,launch
53,5.68137,15625,32000,256,launch
53,5.86507,10000,32000,320,launch
54,4.06004,625,32000,1280,launch
54,4.55573,2500,32000,640,launch
54,5.68282,15625,32000,256,launch
54,5.867,10000,32000,320,launch
55,4.05928,625,32000,1280,launch
55,4.55676,2500,32000,640,launch
55,5.67968,15625,32000,256,launch
55,5.86636,10000,32000,320,launch
56,4.05801,625,32000,1280,launch
56,4.5568,2500,32000,640,launch
56,5.6814,15625,32000,256,launch
56,5.8643,10000,32000,320,launch
57,4.05841,625,32000,1280,launch
57,4.55419,2500,32000,640,launch
57,5.68202,15625,32000,256,launch
57,5.8652,10000,32000,320,launch
58,4.05861,625,32000,1280,launch
58,4.55569,2500,32000,640,launch
58,5.6811,15625,32000,256,launch
58,5.86733,10000,32000,320,launch
59,4.05654,625,32000,1280,launch
59,4.55292,2500,32000,640,launch
59,5.67987,15625,32000,256,launch
59,5.86491,10000,32000,320,launch
60,4.05496,625,32000,1280,launch
60,4.54535,2500,32000,640,launch
60,5.67036,15625,32000,256,launch
60,5.8536,10000,32000,320,launch
61,4.05642,625,32000,1280,launch
61,4.55216,2500,32000,640,launch
61,5.68029,15625,32000,256,launch
61,5.86801,10000,32000,320,launch
62,4.0597,625,32000,1280,launch
62,4.55282,2500,32000,640,launch
62,5.67772,15625,32000,256,launch
62,5.86757,10000,32000,320,launch
63,4.05689,625,32000,1280,launch
63,4.55334,2500,32000,640,launch
63,5.67858,15625,32000,256,launch
63,5.86481,10000,32000,320,launch
64,4.05727,625,32000,1280,launch
64,4.55114,2500,32000,640,launch
64,5.67847,15625,32000,256,launch
64,5.86323,10000,32000,320,launch
65,4.05517,625,32000,1280,launch
65,4.553,2500,32000,640,launch
65,5.67847,15625,32000,256,launch
65,5.86512,10000,32000,320,launch
66,4.05469,625,32000,1280,launch
66,4.55045,2500,32000,640,launch
66,5.67856,15625,32000,256,launch
66,5.86715,10000,32000,320,launch
67,4.05456,625,32000,1280,launch
67,4.55405,2500,32000,640,launch
67,5.67855,15625,32000,256,launch
67,5.86433,10000,32000,320,launch
68,4.05504,625,32000,1280,launch
68,4.55335,2500,32000,640,launch
68,5.6763,15625,32000,256,launch
68,5.86681,10000,32000,320,launch
69,4.05375,625,32000,1280,launch
69,4.555,2500,32000,640,launch
69,5.67719,15625,32000,256,launch
69,5.8652,10000,32000,320,launch
70,4.05423,625,32000,1280,launch
70,4.5507,2500,32000,640,launch
70,5.67811,15625,32000,256,launch
70,5.86607,10000,32000,320,launch
71,4.05521,625,32000,1280,launch
71,4.55567,2500,32000,640,launch
71,5.67732,15625,32000,256,launch
71,5.86644,10000,32000,320,launch
72,4.05209,625,32000,1280,launch
72,4.55474,2500,32000,640,launch
72,5.67788,15625,32000,256,launch
72,5.86569,10000,32000,320,launch
73,4.05461,625,32000,1280,launch
73,4.55147,2500,32000,640,launch
73,5.67739,15625,32000,256,launch
73,5.86754,10000,32000,320,launch
74,4.05334,625,32000,1280,launch
74,4.55329,2500,32000,640,launch
74,5.67801,15625,32000,256,launch
74,5.86417,10000,32000,320,launch
75,4.05347,625,32000,1280,launch
75,4.55167,2500,32000,640,launch
75,5.67854,15625,32000,256,launch
75,5.86634,10000,32000,320,launch
76,4.05339,625,32000,1280,launch
