index,time,kernel,dimension,blocksize,operation
0,0.00020659,36,7680,1280,instantiation
0,0.000289456,36,7680,1280,capture
0,0.000575415,144,7680,640,instantiation
0,0.00126597,144,7680,640,capture
0,0.00199812,576,7680,320,instantiation
0,0.00316702,900,7680,256,instantiation
0,0.00567298,576,7680,320,capture
0,0.00850462,900,7680,256,capture
0,0.0278131,3600,7680,128,capture
0,0.0332648,3600,7680,128,instantiation
0,0.0934114,36,7680,1280,launch
0,0.0970603,144,7680,640,launch
0,0.120516,14400,7680,64,capture
0,0.122065,576,7680,320,launch
0,0.13653,900,7680,256,launch
0,0.152224,14400,7680,64,instantiation
0,0.157412,3600,7680,128,launch
0,0.271263,14400,7680,64,launch
1,0.000223852,36,7680,1280,capture
1,0.000229442,36,7680,1280,instantiation
1,0.000542042,144,7680,640,instantiation
1,0.00121469,144,7680,640,capture
1,0.00392634,576,7680,320,instantiation
1,0.00557466,900,7680,256,instantiation
1,0.00578554,576,7680,320,capture
1,0.00889714,900,7680,256,capture
1,0.0284147,3600,7680,128,capture
1,0.0335776,3600,7680,128,instantiation
1,0.0844881,36,7680,1280,launch
1,0.0908591,144,7680,640,launch
1,0.0985456,900,7680,256,launch
1,0.121841,14400,7680,64,capture
1,0.122235,576,7680,320,launch
1,0.145218,3600,7680,128,launch
1,0.150516,14400,7680,64,instantiation
1,0.204633,14400,7680,64,launch
2,0.000208854,36,7680,1280,instantiation
2,0.000216669,36,7680,1280,capture
2,0.000530862,144,7680,640,instantiation
2,0.00121604,144,7680,640,capture
2,0.00284024,576,7680,320,instantiation
2,0.00560682,900,7680,256,instantiation
2,0.00578378,576,7680,320,capture
2,0.00896188,900,7680,256,capture
2,0.028463,3600,7680,128,capture
2,0.0330106,3600,7680,128,instantiation
2,0.0844878,36,7680,1280,launch
2,0.0907779,144,7680,640,launch
2,0.0914971,900,7680,256,launch
2,0.0941414,576,7680,320,launch
2,0.104986,3600,7680,128,launch
2,0.121655,14400,7680,64,capture
2,0.151727,14400,7680,64,instantiation
2,0.204667,14400,7680,64,launch
3,0.000237027,36,7680,1280,capture
3,0.000251465,36,7680,1280,instantiation
3,0.000564054,144,7680,640,instantiation
3,0.00120988,144,7680,640,capture
3,0.00397744,576,7680,320,instantiation
3,0.00553369,900,7680,256,instantiation
3,0.00607211,576,7680,320,capture
3,0.00889248,900,7680,256,capture
3,0.02836,3600,7680,128,capture
3,0.033856,3600,7680,128,instantiation
3,0.0639057,144,7680,640,launch
3,0.0651699,36,7680,1280,launch
3,0.0839127,576,7680,320,launch
3,0.0915578,900,7680,256,launch
3,0.106595,3600,7680,128,launch
3,0.122354,14400,7680,64,capture
3,0.154374,14400,7680,64,instantiation
3,0.204656,14400,7680,64,launch
4,0.000244892,36,7680,1280,capture
4,0.000252577,36,7680,1280,instantiation
4,0.000544357,144,7680,640,instantiation
4,0.00120887,144,7680,640,capture
4,0.00280964,576,7680,320,instantiation
4,0.00552855,900,7680,256,instantiation
4,0.0057816,576,7680,320,capture
4,0.00888787,900,7680,256,capture
4,0.0285191,3600,7680,128,capture
4,0.0334355,3600,7680,128,instantiation
4,0.0573754,36,7680,1280,launch
4,0.0623503,144,7680,640,launch
4,0.0838551,576,7680,320,launch
4,0.091491,900,7680,256,launch
4,0.106163,3600,7680,128,launch
4,0.121909,14400,7680,64,capture
4,0.1549,14400,7680,64,instantiation
4,0.204668,14400,7680,64,launch
5,0.000236957,36,7680,1280,capture
5,0.000237939,36,7680,1280,instantiation
5,0.000764782,144,7680,640,instantiation
5,0.00115821,144,7680,640,capture
5,0.0041262,576,7680,320,instantiation
5,0.00564648,900,7680,256,instantiation
5,0.00572546,576,7680,320,capture
5,0.00890901,900,7680,256,capture
5,0.0283286,3600,7680,128,capture
5,0.033262,3600,7680,128,instantiation
5,0.0579664,36,7680,1280,launch
5,0.0626361,144,7680,640,launch
5,0.0838892,576,7680,320,launch
5,0.0915808,900,7680,256,launch
5,0.106007,3600,7680,128,launch
5,0.121904,14400,7680,64,capture
5,0.155925,14400,7680,64,instantiation
5,0.204639,14400,7680,64,launch
6,0.000238941,36,7680,1280,capture
6,0.00024918,36,7680,1280,instantiation
6,0.000792976,144,7680,640,instantiation
6,0.00130589,144,7680,640,capture
6,0.00389886,576,7680,320,instantiation
6,0.00562665,900,7680,256,instantiation
6,0.00579456,576,7680,320,capture
6,0.00893779,900,7680,256,capture
6,0.0283969,3600,7680,128,capture
6,0.0344095,3600,7680,128,instantiation
6,0.0580667,36,7680,1280,launch
6,0.0626382,144,7680,640,launch
6,0.0848243,576,7680,320,launch
6,0.0915817,900,7680,256,launch
6,0.106011,3600,7680,128,launch
6,0.122147,14400,7680,64,capture
6,0.159294,14400,7680,64,instantiation
6,0.204633,14400,7680,64,launch
7,0.00023893,36,7680,1280,capture
7,0.00024939,36,7680,1280,instantiation
7,0.000799669,144,7680,640,instantiation
7,0.0013361,144,7680,640,capture
7,0.00284695,576,7680,320,instantiation
7,0.00561658,900,7680,256,instantiation
7,0.00580017,576,7680,320,capture
7,0.00892875,900,7680,256,capture
7,0.0284091,3600,7680,128,capture
7,0.0337675,3600,7680,128,instantiation
7,0.0580678,36,7680,1280,launch
7,0.0626348,144,7680,640,launch
7,0.0849745,576,7680,320,launch
7,0.0914942,900,7680,256,launch
7,0.106004,3600,7680,128,launch
7,0.122105,14400,7680,64,capture
7,0.161056,14400,7680,64,instantiation
7,0.204641,14400,7680,64,launch
8,0.000240764,36,7680,1280,capture
8,0.000241185,36,7680,1280,instantiation
8,0.000812883,144,7680,640,instantiation
8,0.00132774,144,7680,640,capture
8,0.00403138,576,7680,320,instantiation
8,0.00563732,900,7680,256,instantiation
8,0.00575751,576,7680,320,capture
8,0.00890458,900,7680,256,capture
8,0.0284576,3600,7680,128,capture
8,0.0343809,3600,7680,128,instantiation
8,0.0580681,36,7680,1280,launch
8,0.062632,144,7680,640,launch
8,0.0845307,576,7680,320,launch
8,0.0915377,900,7680,256,launch
8,0.106026,3600,7680,128,launch
8,0.122759,14400,7680,64,capture
8,0.165184,14400,7680,64,instantiation
8,0.204648,14400,7680,64,launch
9,0.000243199,36,7680,1280,capture
9,0.000260111,36,7680,1280,instantiation
9,0.000791814,144,7680,640,instantiation
9,0.00131407,144,7680,640,capture
9,0.00285249,576,7680,320,instantiation
9,0.00565676,900,7680,256,instantiation
9,0.0058111,576,7680,320,capture
9,0.00891666,900,7680,256,capture
9,0.0284149,3600,7680,128,capture
9,0.0337853,3600,7680,128,instantiation
9,0.0580684,36,7680,1280,launch
9,0.0626387,144,7680,640,launch
9,0.0844611,576,7680,320,launch
9,0.0915356,900,7680,256,launch
9,0.106021,3600,7680,128,launch
9,0.122537,14400,7680,64,capture
9,0.169947,14400,7680,64,instantiation
9,0.204658,14400,7680,64,launch
10,0.0580678,36,7680,1280,launch
10,0.0626368,144,7680,640,launch
10,0.0844425,576,7680,320,launch
10,0.0922344,900,7680,256,launch
10,0.106019,3600,7680,128,launch
10,0.204645,14400,7680,64,launch
11,0.0580689,36,7680,1280,launch
11,0.0626396,144,7680,640,launch
11,0.0846316,576,7680,320,launch
11,0.0952719,900,7680,256,launch
11,0.105997,3600,7680,128,launch
11,0.204633,14400,7680,64,launch
12,0.0580666,36,7680,1280,launch
12,0.0626358,144,7680,640,launch
12,0.086396,576,7680,320,launch
12,0.0936783,900,7680,256,launch
12,0.106004,3600,7680,128,launch
12,0.204643,14400,7680,64,launch
13,0.0580668,36,7680,1280,launch
13,0.0626307,144,7680,640,launch
13,0.0874393,576,7680,320,launch
13,0.0922571,900,7680,256,launch
13,0.106015,3600,7680,128,launch
13,0.204612,14400,7680,64,launch
14,0.0580679,36,7680,1280,launch
14,0.0626436,144,7680,640,launch
14,0.0855378,576,7680,320,launch
14,0.0931825,900,7680,256,launch
14,0.105972,3600,7680,128,launch
14,0.204614,14400,7680,64,launch
15,0.0580667,36,7680,1280,launch
15,0.0626434,144,7680,640,launch
15,0.0844354,576,7680,320,launch
15,0.0924031,900,7680,256,launch
15,0.106006,3600,7680,128,launch
15,0.204637,14400,7680,64,launch
16,0.0580682,36,7680,1280,launch
16,0.0629361,144,7680,640,launch
16,0.0844398,576,7680,320,launch
16,0.091552,900,7680,256,launch
16,0.106031,3600,7680,128,launch
16,0.204675,14400,7680,64,launch
17,0.0580672,36,7680,1280,launch
17,0.0670641,144,7680,640,launch
17,0.085107,576,7680,320,launch
17,0.0915476,900,7680,256,launch
17,0.105992,3600,7680,128,launch
17,0.204645,14400,7680,64,launch
18,0.0592946,36,7680,1280,launch
18,0.0662406,144,7680,640,launch
18,0.0854998,576,7680,320,launch
18,0.0915647,900,7680,256,launch
18,0.106007,3600,7680,128,launch
18,0.204632,14400,7680,64,launch
19,0.0607328,36,7680,1280,launch
19,0.0642525,144,7680,640,launch
19,0.0848209,576,7680,320,launch
19,0.0915117,900,7680,256,launch
19,0.106007,3600,7680,128,launch
19,0.204679,14400,7680,64,launch
