index,time,kernel,dimension,blocksize,operation
152,5.12247,729,34560,1280,launch
153,5.12297,729,34560,1280,launch
154,5.12329,729,34560,1280,launch
155,5.12069,729,34560,1280,launch
156,5.12102,729,34560,1280,launch
157,5.12148,729,34560,1280,launch
158,5.1234,729,34560,1280,launch
159,5.12329,729,34560,1280,launch
160,5.12199,729,34560,1280,launch
161,5.12067,729,34560,1280,launch
162,5.1211,729,34560,1280,launch
163,5.12057,729,34560,1280,launch
164,5.12193,729,34560,1280,launch
165,5.11991,729,34560,1280,launch
166,5.12476,729,34560,1280,launch
167,5.12089,729,34560,1280,launch
168,5.12118,729,34560,1280,launch
169,5.12268,729,34560,1280,launch
170,5.12133,729,34560,1280,launch
171,5.11963,729,34560,1280,launch
172,5.12183,729,34560,1280,launch
173,5.11965,729,34560,1280,launch
174,5.12193,729,34560,1280,launch
175,5.12306,729,34560,1280,launch
176,5.12107,729,34560,1280,launch
177,5.12044,729,34560,1280,launch
178,5.12147,729,34560,1280,launch
179,5.12108,729,34560,1280,launch
180,5.1196,729,34560,1280,launch
181,5.11934,729,34560,1280,launch
182,5.12185,729,34560,1280,launch
183,5.1219,729,34560,1280,launch
184,5.12219,729,34560,1280,launch
185,5.12176,729,34560,1280,launch
186,5.12099,729,34560,1280,launch
187,5.12116,729,34560,1280,launch
188,5.12088,729,34560,1280,launch
189,5.1226,729,34560,1280,launch
190,5.12078,729,34560,1280,launch
191,5.12055,729,34560,1280,launch
192,5.12108,729,34560,1280,launch
193,5.12399,729,34560,1280,launch
194,5.12274,729,34560,1280,launch
195,5.12186,729,34560,1280,launch
196,5.12217,729,34560,1280,launch
197,5.1218,729,34560,1280,launch
198,5.12292,729,34560,1280,launch
199,5.12273,729,34560,1280,launch
index,time,kernel,dimension,blocksize,operation
0,0.615448,72900,34560,128,capture
1,0.615279,72900,34560,128,capture
index,time,kernel,dimension,blocksize,operation
0,0.903798,72900,34560,128,instantiation
index,time,kernel,dimension,blocksize,operation
0,8.00716,72900,34560,128,launch
1,8.01672,72900,34560,128,launch
2,8.04595,72900,34560,128,launch
3,8.07342,72900,34560,128,launch
4,8.09751,72900,34560,128,launch
5,8.11842,72900,34560,128,launch
6,8.134,72900,34560,128,launch
7,8.14716,72900,34560,128,launch
8,8.16126,72900,34560,128,launch
9,8.16773,72900,34560,128,launch
10,8.17941,72900,34560,128,launch
11,8.18343,72900,34560,128,launch
12,8.19082,72900,34560,128,launch
13,8.19254,72900,34560,128,launch
14,8.19748,72900,34560,128,launch
15,8.19879,72900,34560,128,launch
16,8.19954,72900,34560,128,launch
17,8.19998,72900,34560,128,launch
18,8.20057,72900,34560,128,launch
19,8.19824,72900,34560,128,launch
index,time,kernel,dimension,blocksize,operation
0,0.171779,18225,34560,256,capture
1,0.173875,18225,34560,256,capture
2,0.173974,18225,34560,256,capture
3,0.173271,18225,34560,256,capture
4,0.173211,18225,34560,256,capture
5,0.173104,18225,34560,256,capture
6,0.173235,18225,34560,256,capture
7,0.173346,18225,34560,256,capture
8,0.173267,18225,34560,256,capture
9,0.173812,18225,34560,256,capture
index,time,kernel,dimension,blocksize,operation
0,0.144878,18225,34560,256,instantiation
1,0.147307,18225,34560,256,instantiation
2,0.145659,18225,34560,256,instantiation
3,0.145625,18225,34560,256,instantiation
4,0.145448,18225,34560,256,instantiation
5,0.145348,18225,34560,256,instantiation
6,0.145915,18225,34560,256,instantiation
7,0.146636,18225,34560,256,instantiation
8,0.146237,18225,34560,256,instantiation
9,0.148191,18225,34560,256,instantiation
index,time,kernel,dimension,blocksize,operation
0,7.02705,18225,34560,256,launch
1,7.06167,18225,34560,256,launch
2,7.08802,18225,34560,256,launch
3,7.10751,18225,34560,256,launch
4,7.12798,18225,34560,256,launch
5,7.14392,18225,34560,256,launch
6,7.15469,18225,34560,256,launch
7,7.1659,18225,34560,256,launch
8,7.17334,18225,34560,256,launch
9,7.18274,18225,34560,256,launch
10,7.18502,18225,34560,256,launch
11,7.19654,18225,34560,256,launch
12,7.19724,18225,34560,256,launch
13,7.20056,18225,34560,256,launch
14,7.19757,18225,34560,256,launch
15,7.2035,18225,34560,256,launch
16,7.20443,18225,34560,256,launch
17,7.20339,18225,34560,256,launch
18,7.20196,18225,34560,256,launch
19,7.20165,18225,34560,256,launch
20,7.19045,18225,34560,256,launch
21,7.19847,18225,34560,256,launch
22,7.19285,18225,34560,256,launch
23,7.20338,18225,34560,256,launch
24,7.19389,18225,34560,256,launch
25,7.18968,18225,34560,256,launch
26,7.185,18225,34560,256,launch
27,7.18449,18225,34560,256,launch
28,7.18534,18225,34560,256,launch
29,7.18491,18225,34560,256,launch
30,7.18524,18225,34560,256,launch
31,7.1851,18225,34560,256,launch
32,7.18407,18225,34560,256,launch
33,7.18198,18225,34560,256,launch
34,7.18021,18225,34560,256,launch
35,7.18054,18225,34560,256,launch
36,7.17606,18225,34560,256,launch
37,7.17613,18225,34560,256,launch
38,7.17734,18225,34560,256,launch
39,7.17585,18225,34560,256,launch
40,7.17167,18225,34560,256,launch
41,7.17209,18225,34560,256,launch
42,7.17312,18225,34560,256,launch
43,7.17272,18225,34560,256,launch
44,7.17477,18225,34560,256,launch
45,7.17504,18225,34560,256,launch
46,7.17521,18225,34560,256,launch
47,7.17404,18225,34560,256,launch
48,7.17499,18225,34560,256,launch
49,7.17545,18225,34560,256,launch
50,7.17497,18225,34560,256,launch
51,7.17393,18225,34560,256,launch
52,7.17515,18225,34560,256,launch
53,7.17533,18225,34560,256,launch
54,7.17362,18225,34560,256,launch
55,7.17596,18225,34560,256,launch
56,7.17218,18225,34560,256,launch
57,7.17581,18225,34560,256,launch
58,7.17349,18225,34560,256,launch
59,7.17602,18225,34560,256,launch
60,7.17091,18225,34560,256,launch
61,7.17301,18225,34560,256,launch
62,7.17329,18225,34560,256,launch
63,7.17383,18225,34560,256,launch
64,7.1729,18225,34560,256,launch
65,7.17315,18225,34560,256,launch
66,7.17256,18225,34560,256,launch
67,7.17286,18225,34560,256,launch
68,7.17181,18225,34560,256,launch
69,7.17302,18225,34560,256,launch
