index,time,kernel,dimension,blocksizeoperation,cudagraph,
158,2.14482,1,24320,24320,launch,0
159,2.12355,1,24320,24320,launch,0
160,2.09898,1,24320,24320,launch,0
161,2.00403,1,24320,24320,launch,0
162,2.1273,1,24320,24320,launch,0
163,2.21122,1,24320,24320,launch,0
164,2.20661,1,24320,24320,launch,0
165,2.15455,1,24320,24320,launch,0
166,2.10768,1,24320,24320,launch,0
167,2.10093,1,24320,24320,launch,0
168,2.18164,1,24320,24320,launch,0
169,2.15749,1,24320,24320,launch,0
170,2.21252,1,24320,24320,launch,0
171,2.15036,1,24320,24320,launch,0
172,2.0806,1,24320,24320,launch,0
173,2.10179,1,24320,24320,launch,0
174,2.0528,1,24320,24320,launch,0
175,2.1092,1,24320,24320,launch,0
176,2.16719,1,24320,24320,launch,0
177,2.07276,1,24320,24320,launch,0
178,2.10747,1,24320,24320,launch,0
179,2.03126,1,24320,24320,launch,0
180,2.20078,1,24320,24320,launch,0
181,2.1293,1,24320,24320,launch,0
182,2.14184,1,24320,24320,launch,0
183,2.12579,1,24320,24320,launch,0
184,2.14573,1,24320,24320,launch,0
185,2.10203,1,24320,24320,launch,0
186,2.04431,1,24320,24320,launch,0
187,2.07759,1,24320,24320,launch,0
188,2.13458,1,24320,24320,launch,0
189,2.23488,1,24320,24320,launch,0
190,2.2107,1,24320,24320,launch,0
191,2.03967,1,24320,24320,launch,0
192,2.0834,1,24320,24320,launch,0
193,2.19735,1,24320,24320,launch,0
194,2.10071,1,24320,24320,launch,0
195,2.00471,1,24320,24320,launch,0
196,2.07889,1,24320,24320,launch,0
197,2.04614,1,24320,24320,launch,0
198,2.14789,1,24320,24320,launch,0
199,2.00357,1,24320,24320,launch,0
