index,time,kernel,dimension,blocksize
0,0.209113,1024,10240,320
1,0.19892,1024,10240,320
2,0.194861,1024,10240,320
3,0.194926,1024,10240,320
4,0.194994,1024,10240,320
5,0.196209,1024,10240,320
6,0.197486,1024,10240,320
7,0.195435,1024,10240,320
8,0.196474,1024,10240,320
9,0.196827,1024,10240,320
10,0.195532,1024,10240,320
11,0.198148,1024,10240,320
12,0.196956,1024,10240,320
13,0.195749,1024,10240,320
14,0.194965,1024,10240,320
15,0.196355,1024,10240,320
16,0.197454,1024,10240,320
17,0.197812,1024,10240,320
18,0.195396,1024,10240,320
19,0.196133,1024,10240,320
20,0.196638,1024,10240,320
21,0.196782,1024,10240,320
22,0.197991,1024,10240,320
23,0.196336,1024,10240,320
24,0.194976,1024,10240,320
25,0.196558,1024,10240,320
26,0.196729,1024,10240,320
27,0.197943,1024,10240,320
28,0.196736,1024,10240,320
29,0.194793,1024,10240,320
30,0.196982,1024,10240,320
31,0.196897,1024,10240,320
32,0.19643,1024,10240,320
33,0.198336,1024,10240,320
34,0.196768,1024,10240,320
35,0.195551,1024,10240,320
36,0.196306,1024,10240,320
37,0.196902,1024,10240,320
38,0.197737,1024,10240,320
39,0.19666,1024,10240,320
40,0.195925,1024,10240,320
41,0.196638,1024,10240,320
42,0.196703,1024,10240,320
43,0.197943,1024,10240,320
44,0.19602,1024,10240,320
45,0.198783,1024,10240,320
46,0.196632,1024,10240,320
47,0.196678,1024,10240,320
48,0.196098,1024,10240,320
49,0.196752,1024,10240,320
50,0.197796,1024,10240,320
51,0.195979,1024,10240,320
52,0.198902,1024,10240,320
53,0.19618,1024,10240,320
54,0.196228,1024,10240,320
55,0.196297,1024,10240,320
56,0.196646,1024,10240,320
57,0.199382,1024,10240,320
58,0.195671,1024,10240,320
59,0.19642,1024,10240,320
60,0.196857,1024,10240,320
61,0.196493,1024,10240,320
62,0.198998,1024,10240,320
63,0.196118,1024,10240,320
64,0.196589,1024,10240,320
65,0.196619,1024,10240,320
66,0.197238,1024,10240,320
67,0.198203,1024,10240,320
68,0.195804,1024,10240,320
69,0.196688,1024,10240,320
70,0.196804,1024,10240,320
71,0.197019,1024,10240,320
72,0.198487,1024,10240,320
73,0.196661,1024,10240,320
74,0.196803,1024,10240,320
75,0.195425,1024,10240,320
76,0.196647,1024,10240,320
77,0.198232,1024,10240,320
78,0.197435,1024,10240,320
79,0.197434,1024,10240,320
80,0.196394,1024,10240,320
81,0.196327,1024,10240,320
82,0.197603,1024,10240,320
83,0.197474,1024,10240,320
84,0.198416,1024,10240,320
85,0.196584,1024,10240,320
86,0.196586,1024,10240,320
87,0.196533,1024,10240,320
88,0.196064,1024,10240,320
89,0.199156,1024,10240,320
90,0.19677,1024,10240,320
91,0.195985,1024,10240,320
92,0.196598,1024,10240,320
93,0.19647,1024,10240,320
94,0.198386,1024,10240,320
95,0.198596,1024,10240,320
96,0.195836,1024,10240,320
97,0.196769,1024,10240,320
98,0.196945,1024,10240,320
99,0.197104,1024,10240,320
100,0.197711,1024,10240,320
101,0.197084,1024,10240,320
102,0.196276,1024,10240,320
103,0.196263,1024,10240,320
104,0.198059,1024,10240,320
105,0.196758,1024,10240,320
106,0.19891,1024,10240,320
107,0.195533,1024,10240,320
108,0.196375,1024,10240,320
109,0.198134,1024,10240,320
110,0.196967,1024,10240,320
111,0.198689,1024,10240,320
112,0.196346,1024,10240,320
113,0.195037,1024,10240,320
114,0.19778,1024,10240,320
115,0.198009,1024,10240,320
116,0.197783,1024,10240,320
117,0.196742,1024,10240,320
118,0.195444,1024,10240,320
119,0.197907,1024,10240,320
120,0.198487,1024,10240,320
121,0.198443,1024,10240,320
122,0.195571,1024,10240,320
123,0.196584,1024,10240,320
124,0.196885,1024,10240,320
125,0.199307,1024,10240,320
126,0.196538,1024,10240,320
127,0.196124,1024,10240,320
128,0.19727,1024,10240,320
129,0.196491,1024,10240,320
130,0.199095,1024,10240,320
131,0.196871,1024,10240,320
132,0.195728,1024,10240,320
133,0.196608,1024,10240,320
134,0.197374,1024,10240,320
135,0.198756,1024,10240,320
136,0.196322,1024,10240,320
137,0.196986,1024,10240,320
138,0.19656,1024,10240,320
139,0.19694,1024,10240,320
140,0.199687,1024,10240,320
141,0.195712,1024,10240,320
142,0.196697,1024,10240,320
143,0.198834,1024,10240,320
144,0.196644,1024,10240,320
145,0.197624,1024,10240,320
146,0.195822,1024,10240,320
147,0.1967,1024,10240,320
148,0.199132,1024,10240,320
149,0.196843,1024,10240,320
150,0.196333,1024,10240,320
151,0.196915,1024,10240,320
152,0.196962,1024,10240,320
153,0.197886,1024,10240,320
154,0.196347,1024,10240,320
155,0.196756,1024,10240,320
156,0.197813,1024,10240,320
157,0.196626,1024,10240,320
158,0.198271,1024,10240,320
159,0.196206,1024,10240,320
160,0.196649,1024,10240,320
161,0.19823,1024,10240,320
162,0.196762,1024,10240,320
163,0.197796,1024,10240,320
164,0.196764,1024,10240,320
165,0.197532,1024,10240,320
166,0.197353,1024,10240,320
167,0.197335,1024,10240,320
168,0.198018,1024,10240,320
169,0.195692,1024,10240,320
170,0.199704,1024,10240,320
171,0.195913,1024,10240,320
172,0.19683,1024,10240,320
173,0.198578,1024,10240,320
174,0.196627,1024,10240,320
175,0.198153,1024,10240,320
176,0.196317,1024,10240,320
177,0.197003,1024,10240,320
178,0.198638,1024,10240,320
179,0.196084,1024,10240,320
180,0.196941,1024,10240,320
181,0.197859,1024,10240,320
182,0.196749,1024,10240,320
183,0.198406,1024,10240,320
184,0.195401,1024,10240,320
185,0.198037,1024,10240,320
186,0.197143,1024,10240,320
187,0.197187,1024,10240,320
188,0.196657,1024,10240,320
189,0.19682,1024,10240,320
190,0.19876,1024,10240,320
191,0.196703,1024,10240,320
192,0.197109,1024,10240,320
193,0.196734,1024,10240,320
194,0.197284,1024,10240,320
195,0.199186,1024,10240,320
196,0.196027,1024,10240,320
197,0.196699,1024,10240,320
198,0.197536,1024,10240,320
199,0.197571,1024,10240,320
