index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,0.948562,900,19200,640,launch,0
1,0.957433,900,19200,640,launch,0
2,0.95882,900,19200,640,launch,0
3,0.961318,900,19200,640,launch,0
4,0.96008,900,19200,640,launch,0
5,0.960117,900,19200,640,launch,0
6,0.961778,900,19200,640,launch,0
7,0.961657,900,19200,640,launch,0
8,0.962624,900,19200,640,launch,0
9,0.963826,900,19200,640,launch,0
10,0.963073,900,19200,640,launch,0
11,0.962752,900,19200,640,launch,0
12,0.963009,900,19200,640,launch,0
13,0.962831,900,19200,640,launch,0
14,0.964293,900,19200,640,launch,0
15,0.964127,900,19200,640,launch,0
16,0.963947,900,19200,640,launch,0
17,0.96499,900,19200,640,launch,0
18,0.964732,900,19200,640,launch,0
19,0.964299,900,19200,640,launch,0
20,0.965778,900,19200,640,launch,0
21,0.965392,900,19200,640,launch,0
22,0.966908,900,19200,640,launch,0
23,0.964674,900,19200,640,launch,0
24,0.966657,900,19200,640,launch,0
25,0.966347,900,19200,640,launch,0
26,0.966673,900,19200,640,launch,0
27,0.965536,900,19200,640,launch,0
28,0.966904,900,19200,640,launch,0
29,0.967377,900,19200,640,launch,0
30,0.967992,900,19200,640,launch,0
31,0.967351,900,19200,640,launch,0
32,0.967336,900,19200,640,launch,0
33,0.9668,900,19200,640,launch,0
34,0.967888,900,19200,640,launch,0
35,0.967873,900,19200,640,launch,0
36,0.968144,900,19200,640,launch,0
37,0.968172,900,19200,640,launch,0
38,0.968167,900,19200,640,launch,0
39,0.968162,900,19200,640,launch,0
40,0.968163,900,19200,640,launch,0
41,0.96815,900,19200,640,launch,0
42,0.969014,900,19200,640,launch,0
43,0.969023,900,19200,640,launch,0
44,0.968187,900,19200,640,launch,0
45,0.969181,900,19200,640,launch,0
46,0.969565,900,19200,640,launch,0
47,0.968675,900,19200,640,launch,0
48,0.969155,900,19200,640,launch,0
49,0.96919,900,19200,640,launch,0
50,0.969174,900,19200,640,launch,0
51,0.969142,900,19200,640,launch,0
52,0.969918,900,19200,640,launch,0
53,0.969564,900,19200,640,launch,0
54,0.97011,900,19200,640,launch,0
55,0.969575,900,19200,640,launch,0
56,0.969947,900,19200,640,launch,0
57,0.970317,900,19200,640,launch,0
58,0.970105,900,19200,640,launch,0
59,0.970493,900,19200,640,launch,0
60,0.970252,900,19200,640,launch,0
61,0.970568,900,19200,640,launch,0
62,0.970467,900,19200,640,launch,0
63,0.970749,900,19200,640,launch,0
64,0.97072,900,19200,640,launch,0
65,0.97113,900,19200,640,launch,0
66,0.969734,900,19200,640,launch,0
67,0.970818,900,19200,640,launch,0
68,0.970142,900,19200,640,launch,0
69,0.970921,900,19200,640,launch,0
70,0.970506,900,19200,640,launch,0
71,0.970717,900,19200,640,launch,0
72,0.97078,900,19200,640,launch,0
73,0.971775,900,19200,640,launch,0
74,0.969964,900,19200,640,launch,0
75,0.971223,900,19200,640,launch,0
76,0.970201,900,19200,640,launch,0
77,0.971037,900,19200,640,launch,0
78,0.971272,900,19200,640,launch,0
79,0.970549,900,19200,640,launch,0
80,0.972033,900,19200,640,launch,0
81,0.971953,900,19200,640,launch,0
82,0.971759,900,19200,640,launch,0
83,0.970067,900,19200,640,launch,0
84,0.970867,900,19200,640,launch,0
85,0.971993,900,19200,640,launch,0
86,0.972011,900,19200,640,launch,0
87,0.971525,900,19200,640,launch,0
88,0.97153,900,19200,640,launch,0
89,0.972037,900,19200,640,launch,0
90,0.971321,900,19200,640,launch,0
91,0.971868,900,19200,640,launch,0
92,0.971918,900,19200,640,launch,0
93,0.971765,900,19200,640,launch,0
94,0.971914,900,19200,640,launch,0
95,0.972093,900,19200,640,launch,0
96,0.970702,900,19200,640,launch,0
97,0.971798,900,19200,640,launch,0
98,0.971692,900,19200,640,launch,0
99,0.971457,900,19200,640,launch,0
100,0.971329,900,19200,640,launch,0
101,0.972525,900,19200,640,launch,0
102,0.971209,900,19200,640,launch,0
103,0.972093,900,19200,640,launch,0
104,0.971919,900,19200,640,launch,0
105,0.972305,900,19200,640,launch,0
106,0.971862,900,19200,640,launch,0
107,0.971985,900,19200,640,launch,0
108,0.973594,900,19200,640,launch,0
109,0.972479,900,19200,640,launch,0
110,0.972641,900,19200,640,launch,0
111,0.971377,900,19200,640,launch,0
112,0.972773,900,19200,640,launch,0
113,0.973762,900,19200,640,launch,0
114,0.971548,900,19200,640,launch,0
115,0.971793,900,19200,640,launch,0
116,0.973024,900,19200,640,launch,0
117,0.971706,900,19200,640,launch,0
118,0.972897,900,19200,640,launch,0
119,0.9718,900,19200,640,launch,0
120,0.971155,900,19200,640,launch,0
121,0.971346,900,19200,640,launch,0
122,0.972372,900,19200,640,launch,0
123,0.972913,900,19200,640,launch,0
124,0.971235,900,19200,640,launch,0
125,0.972844,900,19200,640,launch,0
126,0.972721,900,19200,640,launch,0
127,0.971832,900,19200,640,launch,0
128,0.971839,900,19200,640,launch,0
129,0.972469,900,19200,640,launch,0
130,0.972151,900,19200,640,launch,0
131,0.972928,900,19200,640,launch,0
132,0.972327,900,19200,640,launch,0
133,0.971913,900,19200,640,launch,0
134,0.972146,900,19200,640,launch,0
135,0.972633,900,19200,640,launch,0
136,0.972008,900,19200,640,launch,0
137,0.971421,900,19200,640,launch,0
138,0.971052,900,19200,640,launch,0
139,0.971759,900,19200,640,launch,0
140,0.972833,900,19200,640,launch,0
141,0.971828,900,19200,640,launch,0
142,0.971897,900,19200,640,launch,0
143,0.973336,900,19200,640,launch,0
144,0.972367,900,19200,640,launch,0
145,0.97189,900,19200,640,launch,0
146,0.971741,900,19200,640,launch,0
147,0.972304,900,19200,640,launch,0
148,0.971817,900,19200,640,launch,0
149,0.97208,900,19200,640,launch,0
150,0.972591,900,19200,640,launch,0
151,0.972532,900,19200,640,launch,0
152,0.971321,900,19200,640,launch,0
153,0.9722,900,19200,640,launch,0
154,0.9712,900,19200,640,launch,0
155,0.971049,900,19200,640,launch,0
156,0.972235,900,19200,640,launch,0
157,0.971919,900,19200,640,launch,0
158,0.972305,900,19200,640,launch,0
159,0.972578,900,19200,640,launch,0
160,0.971994,900,19200,640,launch,0
161,0.972217,900,19200,640,launch,0
162,0.972041,900,19200,640,launch,0
163,0.971392,900,19200,640,launch,0
164,0.971958,900,19200,640,launch,0
165,0.971975,900,19200,640,launch,0
166,0.971068,900,19200,640,launch,0
167,0.972392,900,19200,640,launch,0
168,0.972191,900,19200,640,launch,0
169,0.971438,900,19200,640,launch,0
170,0.97273,900,19200,640,launch,0
171,0.971622,900,19200,640,launch,0
172,0.97291,900,19200,640,launch,0
173,0.971802,900,19200,640,launch,0
174,0.971508,900,19200,640,launch,0
175,0.972816,900,19200,640,launch,0
176,0.972097,900,19200,640,launch,0
177,0.971449,900,19200,640,launch,0
178,0.973469,900,19200,640,launch,0
179,0.972064,900,19200,640,launch,0
180,0.971062,900,19200,640,launch,0
181,0.97082,900,19200,640,launch,0
182,0.97172,900,19200,640,launch,0
183,0.971923,900,19200,640,launch,0
184,0.972318,900,19200,640,launch,0
185,0.971449,900,19200,640,launch,0
186,0.971854,900,19200,640,launch,0
187,0.972306,900,19200,640,launch,0
188,0.97232,900,19200,640,launch,0
189,0.971415,900,19200,640,launch,0
190,0.971706,900,19200,640,launch,0
191,0.971939,900,19200,640,launch,0
192,0.972677,900,19200,640,launch,0
193,0.972054,900,19200,640,launch,0
194,0.972044,900,19200,640,launch,0
195,0.971687,900,19200,640,launch,0
