index,time,kernel,dimension,blocksize
0,4.45913,676,33280,1280
0,4.9717,2704,33280,640
0,6.32766,16900,33280,256
0,6.50216,10816,33280,320
0,7.46388,67600,33280,128
1,4.48005,676,33280,1280
0,14.5568,270400,33280,64
1,5.00081,2704,33280,640
1,6.36031,16900,33280,256
1,6.53277,10816,33280,320
1,7.49904,67600,33280,128
2,4.49381,676,33280,1280
2,5.01379,2704,33280,640
2,6.37994,16900,33280,256
2,6.55925,10816,33280,320
2,7.522,67600,33280,128
3,4.50469,676,33280,1280
3,5.03539,2704,33280,640
3,6.39997,16900,33280,256
3,6.57552,10816,33280,320
3,7.54326,67600,33280,128
4,4.5146,676,33280,1280
4,5.03986,2704,33280,640
4,6.41511,16900,33280,256
4,6.59345,10816,33280,320
4,7.56238,67600,33280,128
5,4.52807,676,33280,1280
5,5.05188,2704,33280,640
5,6.42889,16900,33280,256
5,6.6045,10816,33280,320
5,7.57428,67600,33280,128
6,4.53229,676,33280,1280
6,5.06361,2704,33280,640
6,6.43997,16900,33280,256
6,6.61697,10816,33280,320
6,7.58949,67600,33280,128
7,4.54093,676,33280,1280
7,5.07339,2704,33280,640
7,6.44902,16900,33280,256
7,6.6266,10816,33280,320
7,7.59784,67600,33280,128
8,4.54901,676,33280,1280
8,5.08196,2704,33280,640
8,6.45345,16900,33280,256
8,6.63873,10816,33280,320
8,7.60766,67600,33280,128
9,4.55362,676,33280,1280
9,5.08995,2704,33280,640
9,6.46626,16900,33280,256
9,6.64359,10816,33280,320
9,7.61155,67600,33280,128
10,4.55841,676,33280,1280
10,5.09602,2704,33280,640
10,6.47076,16900,33280,256
10,6.65072,10816,33280,320
10,7.61945,67600,33280,128
11,4.56742,676,33280,1280
1,14.6209,270400,33280,64
11,5.09987,2704,33280,640
11,6.47829,16900,33280,256
11,6.6588,10816,33280,320
11,7.62682,67600,33280,128
12,4.56902,676,33280,1280
12,5.10735,2704,33280,640
12,6.48239,16900,33280,256
12,6.66266,10816,33280,320
12,7.6324,67600,33280,128
13,4.57316,676,33280,1280
13,5.11252,2704,33280,640
13,6.48462,16900,33280,256
13,6.66579,10816,33280,320
13,7.63782,67600,33280,128
14,4.57765,676,33280,1280
14,5.11747,2704,33280,640
14,6.48694,16900,33280,256
14,6.67222,10816,33280,320
14,7.63945,67600,33280,128
15,4.57967,676,33280,1280
15,5.12071,2704,33280,640
15,6.49156,16900,33280,256
15,6.67301,10816,33280,320
15,7.64422,67600,33280,128
16,4.58227,676,33280,1280
16,5.12111,2704,33280,640
16,6.49006,16900,33280,256
16,6.67084,10816,33280,320
16,7.64819,67600,33280,128
17,4.58497,676,33280,1280
17,5.12459,2704,33280,640
17,6.48649,16900,33280,256
17,6.67401,10816,33280,320
17,7.6479,67600,33280,128
18,4.58896,676,33280,1280
18,5.12739,2704,33280,640
18,6.4923,16900,33280,256
18,6.67394,10816,33280,320
18,7.64817,67600,33280,128
19,4.58813,676,33280,1280
19,5.12719,2704,33280,640
19,6.48714,16900,33280,256
19,6.67431,10816,33280,320
19,7.64892,67600,33280,128
20,4.5893,676,33280,1280
20,5.12785,2704,33280,640
20,6.4919,16900,33280,256
20,6.67539,10816,33280,320
20,7.65016,67600,33280,128
21,4.58983,676,33280,1280
2,14.6668,270400,33280,64
21,5.12854,2704,33280,640
21,6.49096,16900,33280,256
21,6.67516,10816,33280,320
21,7.6479,67600,33280,128
22,4.59105,676,33280,1280
22,5.1287,2704,33280,640
22,6.48793,16900,33280,256
22,6.67398,10816,33280,320
22,7.64706,67600,33280,128
23,4.59231,676,33280,1280
23,5.12666,2704,33280,640
23,6.48589,16900,33280,256
23,6.67381,10816,33280,320
23,7.64414,67600,33280,128
24,4.59155,676,33280,1280
24,5.12721,2704,33280,640
24,6.4889,16900,33280,256
24,6.67224,10816,33280,320
24,7.64495,67600,33280,128
25,4.59294,676,33280,1280
25,5.1267,2704,33280,640
25,6.48696,16900,33280,256
25,6.67317,10816,33280,320
25,7.64437,67600,33280,128
26,4.59187,676,33280,1280
26,5.12695,2704,33280,640
26,6.48466,16900,33280,256
26,6.67341,10816,33280,320
26,7.64376,67600,33280,128
27,4.5898,676,33280,1280
27,5.12673,2704,33280,640
27,6.48492,16900,33280,256
27,6.67323,10816,33280,320
27,7.64346,67600,33280,128
28,4.5898,676,33280,1280
28,5.12582,2704,33280,640
28,6.48334,16900,33280,256
