index,time,kernel,dimension,blocksize
31,0.101695,196,8960,640
31,0.132821,784,8960,320
31,0.14292,1225,8960,256
31,0.173232,4900,8960,128
31,0.370676,19600,8960,64
32,0.0895743,49,8960,1280
32,0.100682,196,8960,640
32,0.131173,784,8960,320
32,0.141946,1225,8960,256
32,0.173208,4900,8960,128
32,0.370715,19600,8960,64
33,0.0908366,49,8960,1280
33,0.100469,196,8960,640
33,0.131243,784,8960,320
33,0.143654,1225,8960,256
33,0.17322,4900,8960,128
33,0.370699,19600,8960,64
34,0.0912292,49,8960,1280
34,0.100358,196,8960,640
34,0.131207,784,8960,320
34,0.142954,1225,8960,256
34,0.173244,4900,8960,128
34,0.370647,19600,8960,64
35,0.0923207,49,8960,1280
35,0.100356,196,8960,640
35,0.131222,784,8960,320
35,0.143225,1225,8960,256
35,0.173214,4900,8960,128
35,0.370652,19600,8960,64
36,0.0920571,49,8960,1280
36,0.100356,196,8960,640
36,0.131157,784,8960,320
36,0.143215,1225,8960,256
36,0.173204,4900,8960,128
36,0.370669,19600,8960,64
37,0.0901809,49,8960,1280
37,0.100349,196,8960,640
37,0.13261,784,8960,320
37,0.143243,1225,8960,256
37,0.173201,4900,8960,128
37,0.370665,19600,8960,64
38,0.088999,49,8960,1280
38,0.10114,196,8960,640
38,0.132963,784,8960,320
38,0.141694,1225,8960,256
38,0.173222,4900,8960,128
38,0.370665,19600,8960,64
39,0.0897119,49,8960,1280
39,0.101988,196,8960,640
39,0.1317,784,8960,320
39,0.143791,1225,8960,256
39,0.173198,4900,8960,128
39,0.370654,19600,8960,64
40,0.0894955,49,8960,1280
40,0.101718,196,8960,640
40,0.131273,784,8960,320
40,0.142386,1225,8960,256
40,0.173214,4900,8960,128
40,0.37073,19600,8960,64
41,0.0897029,49,8960,1280
41,0.101611,196,8960,640
41,0.131259,784,8960,320
41,0.14385,1225,8960,256
41,0.173242,4900,8960,128
41,0.370725,19600,8960,64
42,0.0895253,49,8960,1280
