time,kernel,dimension,blocksize,operation,
0,0.000151898,2,24320,24320,graphApiYesDependency,1
1,1.6992e-05,2,24320,24320,graphApiYesDependency,1
2,1.7012e-05,2,24320,24320,graphApiYesDependency,1
3,1.8355e-05,2,24320,24320,graphApiYesDependency,1
4,2.3414e-05,2,24320,24320,graphApiYesDependency,1
5,1.5178e-05,2,24320,24320,graphApiYesDependency,1
6,1.5449e-05,2,24320,24320,graphApiYesDependency,1
7,1.5369e-05,2,24320,24320,graphApiYesDependency,1
8,1.9667e-05,2,24320,24320,graphApiYesDependency,1
9,2.3444e-05,2,24320,24320,graphApiYesDependency,1
