index,time,kernel,dimension,blocksize
0,5.09225,14400,30720,256
1,5.1154,14400,30720,256
2,5.13101,14400,30720,256
3,5.14261,14400,30720,256
4,5.15319,14400,30720,256
5,5.16373,14400,30720,256
6,5.17328,14400,30720,256
7,5.17928,14400,30720,256
8,5.18959,14400,30720,256
9,5.19592,14400,30720,256
10,5.19961,14400,30720,256
11,5.20383,14400,30720,256
12,5.20861,14400,30720,256
13,5.21383,14400,30720,256
14,5.21761,14400,30720,256
15,5.21763,14400,30720,256
16,5.22215,14400,30720,256
17,5.22298,14400,30720,256
18,5.22395,14400,30720,256
19,5.22671,14400,30720,256
20,5.2261,14400,30720,256
21,5.22612,14400,30720,256
22,5.22482,14400,30720,256
23,5.22561,14400,30720,256
24,5.22445,14400,30720,256
25,5.22455,14400,30720,256
26,5.22473,14400,30720,256
27,5.22367,14400,30720,256
28,5.22399,14400,30720,256
29,5.22277,14400,30720,256
30,5.22155,14400,30720,256
31,5.22089,14400,30720,256
32,5.2196,14400,30720,256
33,5.21901,14400,30720,256
34,5.21908,14400,30720,256
35,5.21875,14400,30720,256
36,5.2175,14400,30720,256
37,5.21563,14400,30720,256
38,5.21665,14400,30720,256
39,5.21678,14400,30720,256
40,5.21522,14400,30720,256
41,5.21297,14400,30720,256
42,5.21247,14400,30720,256
43,5.2128,14400,30720,256
44,5.21311,14400,30720,256
45,5.21065,14400,30720,256
46,5.21046,14400,30720,256
47,5.20938,14400,30720,256
48,5.21122,14400,30720,256
49,5.20964,14400,30720,256
50,5.20933,14400,30720,256
51,5.20911,14400,30720,256
52,5.20914,14400,30720,256
53,5.20665,14400,30720,256
54,5.20845,14400,30720,256
55,5.20922,14400,30720,256
56,5.20943,14400,30720,256
57,5.20932,14400,30720,256
58,5.20906,14400,30720,256
59,5.20793,14400,30720,256
60,5.20976,14400,30720,256
61,5.20867,14400,30720,256
62,5.20939,14400,30720,256
63,5.2071,14400,30720,256
64,5.20821,14400,30720,256
65,5.20791,14400,30720,256
66,5.20739,14400,30720,256
67,5.20682,14400,30720,256
68,5.20762,14400,30720,256
69,5.20857,14400,30720,256
70,5.20791,14400,30720,256
71,5.20836,14400,30720,256
72,5.20746,14400,30720,256
73,5.2094,14400,30720,256
74,5.20722,14400,30720,256
75,5.20821,14400,30720,256
76,5.20659,14400,30720,256
77,5.2065,14400,30720,256
78,5.2071,14400,30720,256
79,5.20641,14400,30720,256
80,5.20845,14400,30720,256
81,5.2057,14400,30720,256
82,5.20544,14400,30720,256
83,5.20656,14400,30720,256
84,5.2064,14400,30720,256
85,5.20723,14400,30720,256
86,5.20655,14400,30720,256
87,5.20611,14400,30720,256
88,5.20542,14400,30720,256
89,5.20761,14400,30720,256
90,5.20742,14400,30720,256
91,5.20711,14400,30720,256
92,5.20753,14400,30720,256
93,5.20675,14400,30720,256
94,5.20737,14400,30720,256
95,5.2076,14400,30720,256
96,5.20818,14400,30720,256
97,5.2083,14400,30720,256
98,5.20448,14400,30720,256
99,5.20726,14400,30720,256
100,5.20665,14400,30720,256
101,5.20622,14400,30720,256
102,5.20577,14400,30720,256
103,5.20649,14400,30720,256
104,5.20408,14400,30720,256
105,5.2065,14400,30720,256
106,5.20407,14400,30720,256
107,5.20447,14400,30720,256
108,5.20407,14400,30720,256
109,5.20533,14400,30720,256
110,5.20527,14400,30720,256
111,5.20305,14400,30720,256
112,5.20443,14400,30720,256
113,5.20451,14400,30720,256
114,5.20331,14400,30720,256
115,5.20515,14400,30720,256
116,5.20364,14400,30720,256
117,5.20582,14400,30720,256
118,5.20482,14400,30720,256
119,5.20549,14400,30720,256
