time,kernel,dimension,blocksize,operation,
0,0.00047669,2,38400,38400,graphApiYesDependency,1
1,1.6552e-05,2,38400,38400,graphApiYesDependency,1
2,1.7523e-05,2,38400,38400,graphApiYesDependency,1
3,1.5639e-05,2,38400,38400,graphApiYesDependency,1
4,1.8835e-05,2,38400,38400,graphApiYesDependency,1
5,1.6e-05,2,38400,38400,graphApiYesDependency,1
6,1.6231e-05,2,38400,38400,graphApiYesDependency,1
7,1.6722e-05,2,38400,38400,graphApiYesDependency,1
8,1.8986e-05,2,38400,38400,graphApiYesDependency,1
9,1.7252e-05,2,38400,38400,graphApiYesDependency,1
