index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,0.0878237,3600,3840,64,launch,0
1,0.0875418,3600,3840,64,launch,0
2,0.0797773,3600,3840,64,launch,0
3,0.0491893,3600,3840,64,launch,0
4,0.0492621,3600,3840,64,launch,0
5,0.0492785,3600,3840,64,launch,0
6,0.0492111,3600,3840,64,launch,0
7,0.0492049,3600,3840,64,launch,0
8,0.0491974,3600,3840,64,launch,0
9,0.0491899,3600,3840,64,launch,0
10,0.0491893,3600,3840,64,launch,0
11,0.0492012,3600,3840,64,launch,0
12,0.0491793,3600,3840,64,launch,0
13,0.0491909,3600,3840,64,launch,0
14,0.0491918,3600,3840,64,launch,0
15,0.0491985,3600,3840,64,launch,0
16,0.049191,3600,3840,64,launch,0
17,0.049188,3600,3840,64,launch,0
18,0.0491802,3600,3840,64,launch,0
19,0.0491963,3600,3840,64,launch,0
20,0.0491849,3600,3840,64,launch,0
21,0.0492019,3600,3840,64,launch,0
22,0.0491949,3600,3840,64,launch,0
23,0.0491778,3600,3840,64,launch,0
24,0.0491824,3600,3840,64,launch,0
25,0.0491783,3600,3840,64,launch,0
26,0.0491972,3600,3840,64,launch,0
27,0.0492065,3600,3840,64,launch,0
28,0.0491965,3600,3840,64,launch,0
29,0.0491965,3600,3840,64,launch,0
30,0.0491972,3600,3840,64,launch,0
31,0.0491888,3600,3840,64,launch,0
32,0.0491881,3600,3840,64,launch,0
33,0.04919,3600,3840,64,launch,0
34,0.0491936,3600,3840,64,launch,0
35,0.0491809,3600,3840,64,launch,0
36,0.0491866,3600,3840,64,launch,0
37,0.0492005,3600,3840,64,launch,0
38,0.0491988,3600,3840,64,launch,0
39,0.0491923,3600,3840,64,launch,0
40,0.0491903,3600,3840,64,launch,0
41,0.0492007,3600,3840,64,launch,0
42,0.0491996,3600,3840,64,launch,0
43,0.0492095,3600,3840,64,launch,0
44,0.0491759,3600,3840,64,launch,0
45,0.0492001,3600,3840,64,launch,0
46,0.0491745,3600,3840,64,launch,0
47,0.0491813,3600,3840,64,launch,0
48,0.0491877,3600,3840,64,launch,0
49,0.049192,3600,3840,64,launch,0
50,0.0491836,3600,3840,64,launch,0
51,0.0491976,3600,3840,64,launch,0
52,0.049187,3600,3840,64,launch,0
53,0.0492021,3600,3840,64,launch,0
54,0.0491749,3600,3840,64,launch,0
55,0.0491999,3600,3840,64,launch,0
56,0.0491925,3600,3840,64,launch,0
57,0.0491889,3600,3840,64,launch,0
58,0.0491764,3600,3840,64,launch,0
59,0.0491983,3600,3840,64,launch,0
60,0.0492045,3600,3840,64,launch,0
61,0.0491898,3600,3840,64,launch,0
62,0.0491877,3600,3840,64,launch,0
63,0.0491937,3600,3840,64,launch,0
64,0.04918,3600,3840,64,launch,0
65,0.0491899,3600,3840,64,launch,0
66,0.049203,3600,3840,64,launch,0
67,0.049182,3600,3840,64,launch,0
68,0.0492039,3600,3840,64,launch,0
69,0.0491847,3600,3840,64,launch,0
70,0.0491951,3600,3840,64,launch,0
71,0.0491878,3600,3840,64,launch,0
72,0.0491971,3600,3840,64,launch,0
73,0.0491893,3600,3840,64,launch,0
74,0.0492002,3600,3840,64,launch,0
75,0.049197,3600,3840,64,launch,0
76,0.0491967,3600,3840,64,launch,0
77,0.049186,3600,3840,64,launch,0
78,0.0491919,3600,3840,64,launch,0
79,0.0491871,3600,3840,64,launch,0
80,0.0491862,3600,3840,64,launch,0
81,0.0491774,3600,3840,64,launch,0
82,0.0492071,3600,3840,64,launch,0
83,0.0491894,3600,3840,64,launch,0
84,0.0491765,3600,3840,64,launch,0
85,0.0491793,3600,3840,64,launch,0
86,0.0492013,3600,3840,64,launch,0
87,0.049188,3600,3840,64,launch,0
88,0.0491889,3600,3840,64,launch,0
89,0.0492035,3600,3840,64,launch,0
90,0.0491922,3600,3840,64,launch,0
91,0.0491865,3600,3840,64,launch,0
92,0.0491968,3600,3840,64,launch,0
93,0.0491856,3600,3840,64,launch,0
94,0.0491938,3600,3840,64,launch,0
95,0.04919,3600,3840,64,launch,0
96,0.049172,3600,3840,64,launch,0
97,0.0491955,3600,3840,64,launch,0
98,0.0492008,3600,3840,64,launch,0
99,0.0491786,3600,3840,64,launch,0
100,0.049169,3600,3840,64,launch,0
101,0.0489116,3600,3840,64,launch,0
102,0.0493373,3600,3840,64,launch,0
103,0.0493755,3600,3840,64,launch,0
104,0.0492392,3600,3840,64,launch,0
105,0.0491988,3600,3840,64,launch,0
106,0.0492013,3600,3840,64,launch,0
107,0.049192,3600,3840,64,launch,0
108,0.0491944,3600,3840,64,launch,0
109,0.0491995,3600,3840,64,launch,0
110,0.0492101,3600,3840,64,launch,0
111,0.0492076,3600,3840,64,launch,0
112,0.0491997,3600,3840,64,launch,0
113,0.0492027,3600,3840,64,launch,0
114,0.0491994,3600,3840,64,launch,0
115,0.0492025,3600,3840,64,launch,0
116,0.0492005,3600,3840,64,launch,0
117,0.0491971,3600,3840,64,launch,0
118,0.0491975,3600,3840,64,launch,0
119,0.0491845,3600,3840,64,launch,0
120,0.0492034,3600,3840,64,launch,0
121,0.0492012,3600,3840,64,launch,0
122,0.0492046,3600,3840,64,launch,0
123,0.0492099,3600,3840,64,launch,0
124,0.0492106,3600,3840,64,launch,0
125,0.0492214,3600,3840,64,launch,0
126,0.0492013,3600,3840,64,launch,0
127,0.049192,3600,3840,64,launch,0
128,0.0492046,3600,3840,64,launch,0
129,0.0492026,3600,3840,64,launch,0
130,0.049198,3600,3840,64,launch,0
131,0.0492009,3600,3840,64,launch,0
132,0.0492067,3600,3840,64,launch,0
133,0.0492175,3600,3840,64,launch,0
134,0.0491983,3600,3840,64,launch,0
135,0.0492059,3600,3840,64,launch,0
136,0.0491911,3600,3840,64,launch,0
137,0.0491884,3600,3840,64,launch,0
138,0.0492105,3600,3840,64,launch,0
139,0.0492007,3600,3840,64,launch,0
140,0.0492042,3600,3840,64,launch,0
141,0.0491946,3600,3840,64,launch,0
142,0.0491864,3600,3840,64,launch,0
143,0.0492135,3600,3840,64,launch,0
144,0.0492013,3600,3840,64,launch,0
145,0.0492022,3600,3840,64,launch,0
146,0.0492118,3600,3840,64,launch,0
147,0.0492017,3600,3840,64,launch,0
148,0.0492042,3600,3840,64,launch,0
149,0.0491938,3600,3840,64,launch,0
150,0.049195,3600,3840,64,launch,0
151,0.0491955,3600,3840,64,launch,0
152,0.0491969,3600,3840,64,launch,0
153,0.0491855,3600,3840,64,launch,0
154,0.0491935,3600,3840,64,launch,0
155,0.0492147,3600,3840,64,launch,0
156,0.0492006,3600,3840,64,launch,0
157,0.049195,3600,3840,64,launch,0
158,0.0491973,3600,3840,64,launch,0
159,0.0491965,3600,3840,64,launch,0
160,0.049206,3600,3840,64,launch,0
161,0.0492013,3600,3840,64,launch,0
162,0.0492111,3600,3840,64,launch,0
163,0.049209,3600,3840,64,launch,0
164,0.0492072,3600,3840,64,launch,0
165,0.049214,3600,3840,64,launch,0
166,0.0492132,3600,3840,64,launch,0
167,0.0492107,3600,3840,64,launch,0
168,0.0491806,3600,3840,64,launch,0
169,0.0492047,3600,3840,64,launch,0
170,0.0492015,3600,3840,64,launch,0
171,0.0492046,3600,3840,64,launch,0
172,0.0492023,3600,3840,64,launch,0
173,0.0492096,3600,3840,64,launch,0
174,0.0491998,3600,3840,64,launch,0
175,0.0491947,3600,3840,64,launch,0
176,0.0491939,3600,3840,64,launch,0
177,0.0491986,3600,3840,64,launch,0
178,0.049209,3600,3840,64,launch,0
179,0.049194,3600,3840,64,launch,0
180,0.0491997,3600,3840,64,launch,0
181,0.0492007,3600,3840,64,launch,0
182,0.0492075,3600,3840,64,launch,0
183,0.0492011,3600,3840,64,launch,0
184,0.0491948,3600,3840,64,launch,0
185,0.0491964,3600,3840,64,launch,0
186,0.0492014,3600,3840,64,launch,0
187,0.0491967,3600,3840,64,launch,0
188,0.0491955,3600,3840,64,launch,0
189,0.0491995,3600,3840,64,launch,0
190,0.0492045,3600,3840,64,launch,0
191,0.0491952,3600,3840,64,launch,0
192,0.049209,3600,3840,64,launch,0
193,0.0491918,3600,3840,64,launch,0
194,0.0491956,3600,3840,64,launch,0
195,0.0492067,3600,3840,64,launch,0
196,0.0491951,3600,3840,64,launch,0
197,0.0491902,3600,3840,64,launch,0
198,0.0491918,3600,3840,64,launch,0
199,0.049201,3600,3840,64,launch,0
