time,kernel,dimension,blocksize,operation,
0,1.71158,266240,20480,320,launch,1
1,1.63815,266240,20480,320,launch,1
2,1.63444,266240,20480,320,launch,1
3,1.64287,266240,20480,320,launch,1
4,1.63944,266240,20480,320,launch,1
5,1.64144,266240,20480,320,launch,1
6,1.64555,266240,20480,320,launch,1
7,1.64264,266240,20480,320,launch,1
8,1.64505,266240,20480,320,launch,1
9,1.64756,266240,20480,320,launch,1
10,1.64516,266240,20480,320,launch,1
11,1.64813,266240,20480,320,launch,1
12,1.65193,266240,20480,320,launch,1
13,1.6488,266240,20480,320,launch,1
14,1.65283,266240,20480,320,launch,1
15,1.65298,266240,20480,320,launch,1
16,1.65318,266240,20480,320,launch,1
17,1.65579,266240,20480,320,launch,1
18,1.65601,266240,20480,320,launch,1
19,1.65716,266240,20480,320,launch,1
