time,kernel,dimension,blocksize,operation,
0,2.31491,12,25600,12800,launch,1
1,2.31617,12,25600,12800,launch,1
2,2.31605,12,25600,12800,launch,1
3,2.32122,12,25600,12800,launch,1
4,2.33614,12,25600,12800,launch,1
5,2.32497,12,25600,12800,launch,1
6,2.33064,12,25600,12800,launch,1
7,2.3337,12,25600,12800,launch,1
8,2.33953,12,25600,12800,launch,1
9,2.35062,12,25600,12800,launch,1
10,2.3567,12,25600,12800,launch,1
11,2.36939,12,25600,12800,launch,1
12,2.34299,12,25600,12800,launch,1
13,2.34769,12,25600,12800,launch,1
14,2.36321,12,25600,12800,launch,1
15,2.34598,12,25600,12800,launch,1
16,2.36124,12,25600,12800,launch,1
17,2.38922,12,25600,12800,launch,1
18,2.38778,12,25600,12800,launch,1
19,2.38315,12,25600,12800,launch,1
20,2.39423,12,25600,12800,launch,1
21,2.38002,12,25600,12800,launch,1
22,2.39721,12,25600,12800,launch,1
23,2.39402,12,25600,12800,launch,1
24,2.39911,12,25600,12800,launch,1
25,2.38885,12,25600,12800,launch,1
26,2.39394,12,25600,12800,launch,1
27,2.39407,12,25600,12800,launch,1
28,2.42661,12,25600,12800,launch,1
29,2.37111,12,25600,12800,launch,1
30,2.39308,12,25600,12800,launch,1
31,2.39682,12,25600,12800,launch,1
32,2.38483,12,25600,12800,launch,1
33,2.40279,12,25600,12800,launch,1
34,2.38696,12,25600,12800,launch,1
35,2.42085,12,25600,12800,launch,1
36,2.39277,12,25600,12800,launch,1
37,2.3775,12,25600,12800,launch,1
38,2.3711,12,25600,12800,launch,1
39,2.3798,12,25600,12800,launch,1
40,2.38523,12,25600,12800,launch,1
41,2.4456,12,25600,12800,launch,1
42,2.42387,12,25600,12800,launch,1
43,2.47197,12,25600,12800,launch,1
44,2.44312,12,25600,12800,launch,1
45,2.4276,12,25600,12800,launch,1
46,2.42762,12,25600,12800,launch,1
47,2.40739,12,25600,12800,launch,1
48,2.42826,12,25600,12800,launch,1
49,2.41952,12,25600,12800,launch,1
50,2.4215,12,25600,12800,launch,1
51,2.42684,12,25600,12800,launch,1
52,2.42041,12,25600,12800,launch,1
53,2.45508,12,25600,12800,launch,1
54,2.48288,12,25600,12800,launch,1
55,2.42408,12,25600,12800,launch,1
56,2.44489,12,25600,12800,launch,1
57,2.46615,12,25600,12800,launch,1
58,2.43336,12,25600,12800,launch,1
59,2.40444,12,25600,12800,launch,1
60,2.41078,12,25600,12800,launch,1
61,2.43674,12,25600,12800,launch,1
62,2.41268,12,25600,12800,launch,1
63,2.44514,12,25600,12800,launch,1
64,2.43626,12,25600,12800,launch,1
65,2.43706,12,25600,12800,launch,1
66,2.42339,12,25600,12800,launch,1
67,2.39306,12,25600,12800,launch,1
68,2.44249,12,25600,12800,launch,1
69,2.44395,12,25600,12800,launch,1
70,2.43093,12,25600,12800,launch,1
71,2.44429,12,25600,12800,launch,1
72,2.46281,12,25600,12800,launch,1
73,2.4586,12,25600,12800,launch,1
74,2.43517,12,25600,12800,launch,1
75,2.42837,12,25600,12800,launch,1
76,2.47373,12,25600,12800,launch,1
77,2.44373,12,25600,12800,launch,1
78,2.42218,12,25600,12800,launch,1
79,2.44286,12,25600,12800,launch,1
80,2.4379,12,25600,12800,launch,1
81,2.44465,12,25600,12800,launch,1
82,2.42002,12,25600,12800,launch,1
83,2.44631,12,25600,12800,launch,1
84,2.39653,12,25600,12800,launch,1
85,2.46202,12,25600,12800,launch,1
86,2.44602,12,25600,12800,launch,1
87,2.40848,12,25600,12800,launch,1
88,2.41073,12,25600,12800,launch,1
89,2.38843,12,25600,12800,launch,1
90,2.40735,12,25600,12800,launch,1
91,2.39152,12,25600,12800,launch,1
92,2.4453,12,25600,12800,launch,1
93,2.42611,12,25600,12800,launch,1
94,2.41059,12,25600,12800,launch,1
95,2.4147,12,25600,12800,launch,1
96,2.47582,12,25600,12800,launch,1
97,2.40245,12,25600,12800,launch,1
98,2.38077,12,25600,12800,launch,1
99,2.39286,12,25600,12800,launch,1
100,2.43176,12,25600,12800,launch,1
101,2.42255,12,25600,12800,launch,1
102,2.42772,12,25600,12800,launch,1
103,2.42319,12,25600,12800,launch,1
104,2.37874,12,25600,12800,launch,1
105,2.4018,12,25600,12800,launch,1
106,2.40829,12,25600,12800,launch,1
107,2.41595,12,25600,12800,launch,1
108,2.4383,12,25600,12800,launch,1
109,2.38743,12,25600,12800,launch,1
110,2.41152,12,25600,12800,launch,1
111,2.38926,12,25600,12800,launch,1
112,2.40274,12,25600,12800,launch,1
113,2.39035,12,25600,12800,launch,1
114,2.38681,12,25600,12800,launch,1
115,2.43559,12,25600,12800,launch,1
116,2.37138,12,25600,12800,launch,1
117,2.41231,12,25600,12800,launch,1
118,2.39649,12,25600,12800,launch,1
119,2.39592,12,25600,12800,launch,1
120,2.37556,12,25600,12800,launch,1
121,2.41212,12,25600,12800,launch,1
122,2.37006,12,25600,12800,launch,1
123,2.37494,12,25600,12800,launch,1
124,2.3897,12,25600,12800,launch,1
125,2.43334,12,25600,12800,launch,1
126,2.41623,12,25600,12800,launch,1
127,2.4381,12,25600,12800,launch,1
128,2.41325,12,25600,12800,launch,1
129,2.41599,12,25600,12800,launch,1
130,2.41883,12,25600,12800,launch,1
131,2.44989,12,25600,12800,launch,1
132,2.44338,12,25600,12800,launch,1
133,2.41799,12,25600,12800,launch,1
134,2.42287,12,25600,12800,launch,1
135,2.3959,12,25600,12800,launch,1
136,2.38772,12,25600,12800,launch,1
137,2.47475,12,25600,12800,launch,1
138,2.41108,12,25600,12800,launch,1
139,2.41502,12,25600,12800,launch,1
140,2.47398,12,25600,12800,launch,1
