index,time,kernel,dimension,blocksize,operation,cudagraph
0,1.77734,9,23040,7680,launch,0
1,1.77411,9,23040,7680,launch,0
2,1.69456,9,23040,7680,launch,0
3,1.6692,9,23040,7680,launch,0
4,1.74945,9,23040,7680,launch,0
5,1.67467,9,23040,7680,launch,0
6,1.67297,9,23040,7680,launch,0
7,1.73505,9,23040,7680,launch,0
8,1.67587,9,23040,7680,launch,0
9,1.72917,9,23040,7680,launch,0
10,1.72821,9,23040,7680,launch,0
11,1.79161,9,23040,7680,launch,0
12,1.70581,9,23040,7680,launch,0
13,1.71826,9,23040,7680,launch,0
14,1.68411,9,23040,7680,launch,0
15,1.6852,9,23040,7680,launch,0
16,1.6863,9,23040,7680,launch,0
17,1.68521,9,23040,7680,launch,0
18,1.68823,9,23040,7680,launch,0
19,1.74999,9,23040,7680,launch,0
20,1.80028,9,23040,7680,launch,0
21,1.69287,9,23040,7680,launch,0
22,1.69395,9,23040,7680,launch,0
23,1.69155,9,23040,7680,launch,0
24,1.70567,9,23040,7680,launch,0
25,1.70491,9,23040,7680,launch,0
26,1.69368,9,23040,7680,launch,0
27,1.69705,9,23040,7680,launch,0
28,1.6996,9,23040,7680,launch,0
29,1.69975,9,23040,7680,launch,0
30,1.69818,9,23040,7680,launch,0
31,1.71409,9,23040,7680,launch,0
32,1.74931,9,23040,7680,launch,0
33,1.70772,9,23040,7680,launch,0
34,1.75375,9,23040,7680,launch,0
35,1.75002,9,23040,7680,launch,0
36,1.7055,9,23040,7680,launch,0
37,1.70605,9,23040,7680,launch,0
38,1.7007,9,23040,7680,launch,0
39,1.74679,9,23040,7680,launch,0
40,1.75129,9,23040,7680,launch,0
41,1.70683,9,23040,7680,launch,0
42,1.71354,9,23040,7680,launch,0
43,1.70649,9,23040,7680,launch,0
44,1.7313,9,23040,7680,launch,0
45,1.72847,9,23040,7680,launch,0
46,1.70868,9,23040,7680,launch,0
47,1.7172,9,23040,7680,launch,0
48,1.76025,9,23040,7680,launch,0
49,1.71845,9,23040,7680,launch,0
50,1.76569,9,23040,7680,launch,0
51,1.71276,9,23040,7680,launch,0
52,1.70757,9,23040,7680,launch,0
53,1.72584,9,23040,7680,launch,0
54,1.71312,9,23040,7680,launch,0
55,1.7102,9,23040,7680,launch,0
56,1.71038,9,23040,7680,launch,0
57,1.71105,9,23040,7680,launch,0
58,1.71064,9,23040,7680,launch,0
59,1.72379,9,23040,7680,launch,0
60,1.71094,9,23040,7680,launch,0
61,1.73605,9,23040,7680,launch,0
62,1.70842,9,23040,7680,launch,0
63,1.71038,9,23040,7680,launch,0
64,1.72819,9,23040,7680,launch,0
65,1.71309,9,23040,7680,launch,0
66,1.71452,9,23040,7680,launch,0
67,1.74145,9,23040,7680,launch,0
68,1.7126,9,23040,7680,launch,0
69,1.71996,9,23040,7680,launch,0
70,1.75902,9,23040,7680,launch,0
71,1.71721,9,23040,7680,launch,0
72,1.71259,9,23040,7680,launch,0
73,1.71148,9,23040,7680,launch,0
74,1.7255,9,23040,7680,launch,0
75,1.75307,9,23040,7680,launch,0
76,1.78837,9,23040,7680,launch,0
77,1.77012,9,23040,7680,launch,0
78,1.8008,9,23040,7680,launch,0
79,1.72399,9,23040,7680,launch,0
80,1.80854,9,23040,7680,launch,0
81,1.71188,9,23040,7680,launch,0
82,1.71158,9,23040,7680,launch,0
83,1.71123,9,23040,7680,launch,0
84,1.7431,9,23040,7680,launch,0
85,1.71313,9,23040,7680,launch,0
86,1.71065,9,23040,7680,launch,0
87,1.70958,9,23040,7680,launch,0
88,1.71337,9,23040,7680,launch,0
89,1.71261,9,23040,7680,launch,0
90,1.71035,9,23040,7680,launch,0
91,1.71315,9,23040,7680,launch,0
92,1.77973,9,23040,7680,launch,0
93,1.73495,9,23040,7680,launch,0
94,1.73244,9,23040,7680,launch,0
95,1.75335,9,23040,7680,launch,0
96,1.71329,9,23040,7680,launch,0
97,1.70898,9,23040,7680,launch,0
98,1.71119,9,23040,7680,launch,0
99,1.71258,9,23040,7680,launch,0
100,1.71039,9,23040,7680,launch,0
101,1.72732,9,23040,7680,launch,0
102,1.71129,9,23040,7680,launch,0
103,1.70983,9,23040,7680,launch,0
104,1.74485,9,23040,7680,launch,0
105,1.71517,9,23040,7680,launch,0
106,1.71206,9,23040,7680,launch,0
107,1.71069,9,23040,7680,launch,0
108,1.7106,9,23040,7680,launch,0
109,1.76572,9,23040,7680,launch,0
110,1.71191,9,23040,7680,launch,0
111,1.70867,9,23040,7680,launch,0
112,1.74362,9,23040,7680,launch,0
113,1.76739,9,23040,7680,launch,0
