time,kernel,dimension,blocksize,operation,
0,0.00865947,1100,38400,3840,graphApiYesDependency,1
1,0.0123793,1100,38400,3840,graphApiYesDependency,1
2,0.0124043,1100,38400,3840,graphApiYesDependency,1
3,0.0120095,1100,38400,3840,graphApiYesDependency,1
4,0.0125202,1100,38400,3840,graphApiYesDependency,1
5,0.0123801,1100,38400,3840,graphApiYesDependency,1
6,0.0120362,1100,38400,3840,graphApiYesDependency,1
7,0.0110146,1100,38400,3840,graphApiYesDependency,1
8,0.0128449,1100,38400,3840,graphApiYesDependency,1
9,0.0128311,1100,38400,3840,graphApiYesDependency,1
