time,kernel,dimension,blocksize,operation,
0,1.4851,427500,19200,256,launch,1
1,1.40998,427500,19200,256,launch,1
2,1.41426,427500,19200,256,launch,1
3,1.41569,427500,19200,256,launch,1
4,1.41513,427500,19200,256,launch,1
5,1.4169,427500,19200,256,launch,1
6,1.41805,427500,19200,256,launch,1
7,1.41941,427500,19200,256,launch,1
8,1.42171,427500,19200,256,launch,1
9,1.41964,427500,19200,256,launch,1
10,1.42152,427500,19200,256,launch,1
11,1.42325,427500,19200,256,launch,1
12,1.42263,427500,19200,256,launch,1
13,1.425,427500,19200,256,launch,1
14,1.42556,427500,19200,256,launch,1
15,1.42615,427500,19200,256,launch,1
16,1.42647,427500,19200,256,launch,1
17,1.42757,427500,19200,256,launch,1
18,1.42822,427500,19200,256,launch,1
19,1.42827,427500,19200,256,launch,1
