time,kernel,dimension,blocksize,operation,
0,0.109569,12696,29440,1280,graphApiYesDependency,1
1,0.123758,12696,29440,1280,graphApiYesDependency,1
2,0.123872,12696,29440,1280,graphApiYesDependency,1
3,0.128015,12696,29440,1280,graphApiYesDependency,1
4,0.1277,12696,29440,1280,graphApiYesDependency,1
5,0.134515,12696,29440,1280,graphApiYesDependency,1
6,0.130636,12696,29440,1280,graphApiYesDependency,1
7,0.134932,12696,29440,1280,graphApiYesDependency,1
8,0.134564,12696,29440,1280,graphApiYesDependency,1
9,0.138284,12696,29440,1280,graphApiYesDependency,1
