index,time,kernel,dimension,blocksize
0,1.39347,1156,21760,640
1,1.40103,1156,21760,640
2,1.4065,1156,21760,640
3,1.40441,1156,21760,640
4,1.40873,1156,21760,640
5,1.40663,1156,21760,640
6,1.40852,1156,21760,640
7,1.40889,1156,21760,640
8,1.41,1156,21760,640
9,1.40986,1156,21760,640
10,1.41238,1156,21760,640
11,1.41144,1156,21760,640
12,1.41377,1156,21760,640
13,1.41437,1156,21760,640
14,1.41288,1156,21760,640
15,1.41772,1156,21760,640
16,1.41481,1156,21760,640
17,1.41561,1156,21760,640
18,1.41671,1156,21760,640
19,1.41449,1156,21760,640
20,1.41889,1156,21760,640
21,1.41936,1156,21760,640
22,1.41574,1156,21760,640
23,1.42051,1156,21760,640
24,1.41746,1156,21760,640
25,1.42012,1156,21760,640
26,1.41924,1156,21760,640
27,1.41908,1156,21760,640
28,1.42206,1156,21760,640
29,1.41939,1156,21760,640
30,1.42077,1156,21760,640
31,1.41964,1156,21760,640
32,1.42192,1156,21760,640
33,1.42138,1156,21760,640
34,1.42256,1156,21760,640
35,1.42179,1156,21760,640
36,1.42226,1156,21760,640
37,1.42291,1156,21760,640
38,1.42085,1156,21760,640
39,1.42323,1156,21760,640
40,1.42167,1156,21760,640
41,1.42325,1156,21760,640
42,1.42404,1156,21760,640
43,1.42447,1156,21760,640
44,1.42341,1156,21760,640
45,1.42455,1156,21760,640
46,1.42434,1156,21760,640
47,1.42477,1156,21760,640
48,1.42559,1156,21760,640
49,1.42459,1156,21760,640
50,1.4246,1156,21760,640
51,1.42409,1156,21760,640
52,1.4249,1156,21760,640
53,1.4247,1156,21760,640
54,1.42488,1156,21760,640
55,1.42645,1156,21760,640
56,1.42315,1156,21760,640
57,1.42519,1156,21760,640
58,1.4252,1156,21760,640
59,1.42409,1156,21760,640
60,1.42638,1156,21760,640
61,1.42274,1156,21760,640
62,1.42743,1156,21760,640
63,1.42251,1156,21760,640
64,1.42551,1156,21760,640
65,1.42405,1156,21760,640
66,1.42673,1156,21760,640
67,1.42543,1156,21760,640
68,1.4266,1156,21760,640
69,1.42506,1156,21760,640
70,1.4287,1156,21760,640
71,1.42454,1156,21760,640
72,1.42635,1156,21760,640
73,1.4275,1156,21760,640
74,1.42515,1156,21760,640
75,1.42664,1156,21760,640
76,1.42473,1156,21760,640
77,1.42892,1156,21760,640
78,1.42455,1156,21760,640
79,1.42584,1156,21760,640
80,1.42649,1156,21760,640
81,1.42564,1156,21760,640
82,1.42676,1156,21760,640
83,1.42495,1156,21760,640
84,1.42731,1156,21760,640
85,1.4254,1156,21760,640
86,1.42758,1156,21760,640
87,1.42489,1156,21760,640
88,1.42617,1156,21760,640
89,1.4288,1156,21760,640
90,1.42456,1156,21760,640
91,1.4268,1156,21760,640
92,1.42668,1156,21760,640
93,1.42671,1156,21760,640
94,1.42697,1156,21760,640
95,1.42612,1156,21760,640
96,1.42843,1156,21760,640
97,1.42458,1156,21760,640
98,1.42745,1156,21760,640
99,1.4279,1156,21760,640
100,1.42411,1156,21760,640
101,1.42755,1156,21760,640
102,1.42483,1156,21760,640
103,1.42719,1156,21760,640
104,1.42558,1156,21760,640
105,1.42702,1156,21760,640
106,1.42592,1156,21760,640
107,1.42636,1156,21760,640
108,1.42708,1156,21760,640
109,1.42399,1156,21760,640
110,1.42637,1156,21760,640
111,1.42784,1156,21760,640
112,1.42502,1156,21760,640
113,1.42551,1156,21760,640
114,1.42715,1156,21760,640
115,1.42478,1156,21760,640
116,1.42832,1156,21760,640
117,1.42404,1156,21760,640
118,1.42794,1156,21760,640
119,1.42474,1156,21760,640
120,1.42526,1156,21760,640
121,1.4271,1156,21760,640
122,1.42518,1156,21760,640
123,1.4281,1156,21760,640
124,1.42785,1156,21760,640
125,1.42607,1156,21760,640
126,1.42856,1156,21760,640
127,1.42336,1156,21760,640
128,1.4281,1156,21760,640
129,1.42475,1156,21760,640
130,1.42537,1156,21760,640
131,1.42841,1156,21760,640
132,1.4248,1156,21760,640
133,1.42691,1156,21760,640
134,1.42417,1156,21760,640
135,1.42723,1156,21760,640
136,1.42663,1156,21760,640
137,1.42615,1156,21760,640
138,1.42733,1156,21760,640
139,1.42569,1156,21760,640
140,1.42697,1156,21760,640
141,1.42645,1156,21760,640
142,1.42676,1156,21760,640
143,1.42613,1156,21760,640
144,1.42677,1156,21760,640
145,1.42601,1156,21760,640
146,1.42557,1156,21760,640
147,1.42845,1156,21760,640
148,1.42502,1156,21760,640
149,1.42638,1156,21760,640
150,1.42584,1156,21760,640
151,1.42474,1156,21760,640
152,1.42683,1156,21760,640
153,1.42613,1156,21760,640
154,1.4274,1156,21760,640
155,1.42539,1156,21760,640
156,1.42586,1156,21760,640
157,1.42735,1156,21760,640
158,1.42662,1156,21760,640
159,1.42395,1156,21760,640
160,1.42779,1156,21760,640
161,1.4245,1156,21760,640
162,1.42802,1156,21760,640
163,1.4261,1156,21760,640
164,1.4262,1156,21760,640
165,1.42662,1156,21760,640
166,1.42558,1156,21760,640
167,1.42687,1156,21760,640
168,1.42793,1156,21760,640
169,1.42527,1156,21760,640
170,1.42694,1156,21760,640
171,1.42587,1156,21760,640
172,1.42596,1156,21760,640
173,1.42589,1156,21760,640
174,1.42638,1156,21760,640
175,1.42805,1156,21760,640
176,1.42479,1156,21760,640
177,1.42956,1156,21760,640
178,1.42388,1156,21760,640
179,1.42755,1156,21760,640
180,1.42461,1156,21760,640
181,1.42559,1156,21760,640
182,1.42542,1156,21760,640
183,1.42661,1156,21760,640
184,1.42663,1156,21760,640
185,1.42614,1156,21760,640
186,1.42574,1156,21760,640
187,1.42644,1156,21760,640
188,1.42616,1156,21760,640
189,1.42683,1156,21760,640
190,1.42599,1156,21760,640
191,1.42548,1156,21760,640
192,1.42677,1156,21760,640
193,1.42573,1156,21760,640
194,1.42561,1156,21760,640
195,1.42656,1156,21760,640
196,1.42789,1156,21760,640
197,1.42698,1156,21760,640
198,1.42605,1156,21760,640
199,1.42682,1156,21760,640
