index,time,kernel,dimension,blocksize,operation
0,2.90579,6400,25600,320,launch
1,2.92533,6400,25600,320,launch
2,2.9302,6400,25600,320,launch
3,2.93462,6400,25600,320,launch
4,2.93762,6400,25600,320,launch
5,2.94227,6400,25600,320,launch
6,2.94624,6400,25600,320,launch
7,2.94909,6400,25600,320,launch
8,2.95202,6400,25600,320,launch
9,2.95482,6400,25600,320,launch
10,2.95832,6400,25600,320,launch
11,2.96027,6400,25600,320,launch
12,2.96294,6400,25600,320,launch
13,2.96487,6400,25600,320,launch
14,2.96607,6400,25600,320,launch
15,2.96885,6400,25600,320,launch
16,2.96949,6400,25600,320,launch
17,2.97012,6400,25600,320,launch
18,2.97136,6400,25600,320,launch
19,2.97277,6400,25600,320,launch
20,2.96385,6400,25600,320,launch
21,2.97642,6400,25600,320,launch
22,2.97553,6400,25600,320,launch
23,2.97655,6400,25600,320,launch
24,2.97726,6400,25600,320,launch
25,2.97877,6400,25600,320,launch
26,2.97938,6400,25600,320,launch
27,2.97912,6400,25600,320,launch
28,2.98045,6400,25600,320,launch
29,2.98377,6400,25600,320,launch
30,2.983,6400,25600,320,launch
31,2.98209,6400,25600,320,launch
32,2.9813,6400,25600,320,launch
33,2.98371,6400,25600,320,launch
34,2.9823,6400,25600,320,launch
35,2.98396,6400,25600,320,launch
36,2.9829,6400,25600,320,launch
37,2.98341,6400,25600,320,launch
38,2.98448,6400,25600,320,launch
39,2.98325,6400,25600,320,launch
40,2.9749,6400,25600,320,launch
41,2.98595,6400,25600,320,launch
42,2.9847,6400,25600,320,launch
43,2.98597,6400,25600,320,launch
44,2.98471,6400,25600,320,launch
45,2.98482,6400,25600,320,launch
46,2.98516,6400,25600,320,launch
47,2.98685,6400,25600,320,launch
48,2.98684,6400,25600,320,launch
49,2.98532,6400,25600,320,launch
50,2.98481,6400,25600,320,launch
51,2.98444,6400,25600,320,launch
52,2.98292,6400,25600,320,launch
53,2.9844,6400,25600,320,launch
54,2.98466,6400,25600,320,launch
55,2.98407,6400,25600,320,launch
56,2.98532,6400,25600,320,launch
57,2.98548,6400,25600,320,launch
58,2.98398,6400,25600,320,launch
59,2.98433,6400,25600,320,launch
60,2.97433,6400,25600,320,launch
61,2.98289,6400,25600,320,launch
62,2.98318,6400,25600,320,launch
63,2.98501,6400,25600,320,launch
64,2.98338,6400,25600,320,launch
65,2.98214,6400,25600,320,launch
66,2.98406,6400,25600,320,launch
67,2.9837,6400,25600,320,launch
68,2.98106,6400,25600,320,launch
69,2.98271,6400,25600,320,launch
70,2.9829,6400,25600,320,launch
71,2.98249,6400,25600,320,launch
72,2.98272,6400,25600,320,launch
73,2.98089,6400,25600,320,launch
74,2.98182,6400,25600,320,launch
75,2.98185,6400,25600,320,launch
76,2.9816,6400,25600,320,launch
77,2.98117,6400,25600,320,launch
78,2.98162,6400,25600,320,launch
79,2.98066,6400,25600,320,launch
80,2.97199,6400,25600,320,launch
81,2.98122,6400,25600,320,launch
82,2.98042,6400,25600,320,launch
83,2.98063,6400,25600,320,launch
84,2.98318,6400,25600,320,launch
85,2.98105,6400,25600,320,launch
86,2.98094,6400,25600,320,launch
87,2.98163,6400,25600,320,launch
88,2.98036,6400,25600,320,launch
89,2.98084,6400,25600,320,launch
90,2.98037,6400,25600,320,launch
91,2.98158,6400,25600,320,launch
92,2.98155,6400,25600,320,launch
93,2.98204,6400,25600,320,launch
94,2.98081,6400,25600,320,launch
95,2.98061,6400,25600,320,launch
96,2.98227,6400,25600,320,launch
97,2.98178,6400,25600,320,launch
98,2.98009,6400,25600,320,launch
99,2.98183,6400,25600,320,launch
100,2.97536,6400,25600,320,launch
101,2.98001,6400,25600,320,launch
102,2.98088,6400,25600,320,launch
103,2.98132,6400,25600,320,launch
104,2.98159,6400,25600,320,launch
105,2.98102,6400,25600,320,launch
106,2.98013,6400,25600,320,launch
107,2.98077,6400,25600,320,launch
108,2.98068,6400,25600,320,launch
109,2.98142,6400,25600,320,launch
110,2.98092,6400,25600,320,launch
111,2.98102,6400,25600,320,launch
112,2.98003,6400,25600,320,launch
113,2.98084,6400,25600,320,launch
114,2.98106,6400,25600,320,launch
115,2.97968,6400,25600,320,launch
116,2.98042,6400,25600,320,launch
117,2.98126,6400,25600,320,launch
118,2.98124,6400,25600,320,launch
119,2.98065,6400,25600,320,launch
120,2.97406,6400,25600,320,launch
121,2.9803,6400,25600,320,launch
122,2.98059,6400,25600,320,launch
123,2.98116,6400,25600,320,launch
124,2.98106,6400,25600,320,launch
125,2.97941,6400,25600,320,launch
126,2.98085,6400,25600,320,launch
127,2.98035,6400,25600,320,launch
128,2.98033,6400,25600,320,launch
129,2.98017,6400,25600,320,launch
130,2.98098,6400,25600,320,launch
131,2.97989,6400,25600,320,launch
132,2.9805,6400,25600,320,launch
133,2.98148,6400,25600,320,launch
134,2.98002,6400,25600,320,launch
135,2.98031,6400,25600,320,launch
136,2.97951,6400,25600,320,launch
137,2.98011,6400,25600,320,launch
138,2.98073,6400,25600,320,launch
139,2.98049,6400,25600,320,launch
140,2.97287,6400,25600,320,launch
141,2.98185,6400,25600,320,launch
142,2.98104,6400,25600,320,launch
143,2.97911,6400,25600,320,launch
144,2.98069,6400,25600,320,launch
145,2.98039,6400,25600,320,launch
146,2.98024,6400,25600,320,launch
147,2.98154,6400,25600,320,launch
148,2.98163,6400,25600,320,launch
149,2.97962,6400,25600,320,launch
150,2.98016,6400,25600,320,launch
151,2.9795,6400,25600,320,launch
152,2.97884,6400,25600,320,launch
153,2.97987,6400,25600,320,launch
154,2.98007,6400,25600,320,launch
155,2.97921,6400,25600,320,launch
156,2.9803,6400,25600,320,launch
157,2.98087,6400,25600,320,launch
158,2.98012,6400,25600,320,launch
159,2.97947,6400,25600,320,launch
160,2.97198,6400,25600,320,launch
161,2.97904,6400,25600,320,launch
162,2.97831,6400,25600,320,launch
163,2.97919,6400,25600,320,launch
164,2.97903,6400,25600,320,launch
165,2.97939,6400,25600,320,launch
166,2.97925,6400,25600,320,launch
167,2.97964,6400,25600,320,launch
168,2.97959,6400,25600,320,launch
169,2.97986,6400,25600,320,launch
170,2.97725,6400,25600,320,launch
171,2.97884,6400,25600,320,launch
172,2.97845,6400,25600,320,launch
173,2.97799,6400,25600,320,launch
174,2.98031,6400,25600,320,launch
175,2.97848,6400,25600,320,launch
176,2.97796,6400,25600,320,launch
177,2.98046,6400,25600,320,launch
178,2.97894,6400,25600,320,launch
179,2.97892,6400,25600,320,launch
180,2.97067,6400,25600,320,launch
181,2.97805,6400,25600,320,launch
182,2.97882,6400,25600,320,launch
183,2.97614,6400,25600,320,launch
184,2.97909,6400,25600,320,launch
185,2.97943,6400,25600,320,launch
186,2.97896,6400,25600,320,launch
187,2.97777,6400,25600,320,launch
188,2.97956,6400,25600,320,launch
189,2.97955,6400,25600,320,launch
190,2.97959,6400,25600,320,launch
191,2.97933,6400,25600,320,launch
192,2.97988,6400,25600,320,launch
193,2.98089,6400,25600,320,launch
194,2.97793,6400,25600,320,launch
195,2.97879,6400,25600,320,launch
196,2.97953,6400,25600,320,launch
197,2.97959,6400,25600,320,launch
198,2.97991,6400,25600,320,launch
199,2.98159,6400,25600,320,launch
