index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,0.593887,1,15360,15360,launch,0
1,0.614409,1,15360,15360,launch,0
2,0.596072,1,15360,15360,launch,0
3,0.602763,1,15360,15360,launch,0
4,0.59748,1,15360,15360,launch,0
5,0.592065,1,15360,15360,launch,0
6,0.602296,1,15360,15360,launch,0
7,0.593394,1,15360,15360,launch,0
8,0.59804,1,15360,15360,launch,0
9,0.603039,1,15360,15360,launch,0
10,0.597269,1,15360,15360,launch,0
11,0.592865,1,15360,15360,launch,0
12,0.602604,1,15360,15360,launch,0
13,0.596779,1,15360,15360,launch,0
14,0.606806,1,15360,15360,launch,0
15,0.597115,1,15360,15360,launch,0
16,0.601366,1,15360,15360,launch,0
17,0.597964,1,15360,15360,launch,0
18,0.596249,1,15360,15360,launch,0
19,0.602166,1,15360,15360,launch,0
20,0.598511,1,15360,15360,launch,0
21,0.605236,1,15360,15360,launch,0
22,0.603553,1,15360,15360,launch,0
23,0.606703,1,15360,15360,launch,0
24,0.60152,1,15360,15360,launch,0
25,0.597019,1,15360,15360,launch,0
26,0.602931,1,15360,15360,launch,0
27,0.597255,1,15360,15360,launch,0
28,0.602256,1,15360,15360,launch,0
29,0.601655,1,15360,15360,launch,0
30,0.601241,1,15360,15360,launch,0
31,0.600587,1,15360,15360,launch,0
32,0.600753,1,15360,15360,launch,0
33,0.603781,1,15360,15360,launch,0
34,0.599208,1,15360,15360,launch,0
35,0.602214,1,15360,15360,launch,0
36,0.605091,1,15360,15360,launch,0
37,0.599185,1,15360,15360,launch,0
38,0.604681,1,15360,15360,launch,0
39,0.596158,1,15360,15360,launch,0
40,0.600494,1,15360,15360,launch,0
41,0.601372,1,15360,15360,launch,0
42,0.599644,1,15360,15360,launch,0
43,0.601029,1,15360,15360,launch,0
44,0.602664,1,15360,15360,launch,0
45,0.603626,1,15360,15360,launch,0
46,0.607485,1,15360,15360,launch,0
47,0.598321,1,15360,15360,launch,0
48,0.591962,1,15360,15360,launch,0
49,0.606435,1,15360,15360,launch,0
50,0.600202,1,15360,15360,launch,0
51,0.607031,1,15360,15360,launch,0
52,0.599187,1,15360,15360,launch,0
53,0.604033,1,15360,15360,launch,0
54,0.603542,1,15360,15360,launch,0
55,0.599258,1,15360,15360,launch,0
56,0.593708,1,15360,15360,launch,0
57,0.604002,1,15360,15360,launch,0
58,0.600674,1,15360,15360,launch,0
59,0.60967,1,15360,15360,launch,0
60,0.606141,1,15360,15360,launch,0
61,0.599201,1,15360,15360,launch,0
62,0.607202,1,15360,15360,launch,0
63,0.598491,1,15360,15360,launch,0
64,0.60298,1,15360,15360,launch,0
65,0.59885,1,15360,15360,launch,0
66,0.601663,1,15360,15360,launch,0
67,0.604684,1,15360,15360,launch,0
68,0.602486,1,15360,15360,launch,0
69,0.604746,1,15360,15360,launch,0
70,0.602602,1,15360,15360,launch,0
71,0.606395,1,15360,15360,launch,0
72,0.605363,1,15360,15360,launch,0
73,0.601214,1,15360,15360,launch,0
74,0.605589,1,15360,15360,launch,0
75,0.601002,1,15360,15360,launch,0
76,0.603816,1,15360,15360,launch,0
77,0.606862,1,15360,15360,launch,0
78,0.60851,1,15360,15360,launch,0
79,0.606001,1,15360,15360,launch,0
80,0.604033,1,15360,15360,launch,0
81,0.604883,1,15360,15360,launch,0
