time,kernel,dimension,blocksize,operation,
0,0.0461084,2,6400,6400,launch,1
1,0.0467489,2,6400,6400,launch,1
2,0.0469078,2,6400,6400,launch,1
3,0.0469074,2,6400,6400,launch,1
4,0.046906,2,6400,6400,launch,1
5,0.0393842,2,6400,6400,launch,1
6,0.0330167,2,6400,6400,launch,1
7,0.0328095,2,6400,6400,launch,1
8,0.0328034,2,6400,6400,launch,1
9,0.0328027,2,6400,6400,launch,1
10,0.0328132,2,6400,6400,launch,1
11,0.0328184,2,6400,6400,launch,1
12,0.0328149,2,6400,6400,launch,1
13,0.032815,2,6400,6400,launch,1
14,0.0328173,2,6400,6400,launch,1
15,0.032821,2,6400,6400,launch,1
16,0.0328179,2,6400,6400,launch,1
17,0.0328161,2,6400,6400,launch,1
18,0.0328163,2,6400,6400,launch,1
19,0.0328171,2,6400,6400,launch,1
20,0.0328207,2,6400,6400,launch,1
21,0.0328215,2,6400,6400,launch,1
22,0.0328144,2,6400,6400,launch,1
23,0.0328151,2,6400,6400,launch,1
24,0.0328199,2,6400,6400,launch,1
25,0.0328183,2,6400,6400,launch,1
26,0.0328183,2,6400,6400,launch,1
27,0.0328179,2,6400,6400,launch,1
28,0.0328212,2,6400,6400,launch,1
29,0.0328186,2,6400,6400,launch,1
30,0.0328158,2,6400,6400,launch,1
31,0.0329608,2,6400,6400,launch,1
32,0.0335958,2,6400,6400,launch,1
33,0.0340963,2,6400,6400,launch,1
34,0.0339529,2,6400,6400,launch,1
35,0.0336666,2,6400,6400,launch,1
36,0.0334456,2,6400,6400,launch,1
37,0.033252,2,6400,6400,launch,1
38,0.0331704,2,6400,6400,launch,1
39,0.0328037,2,6400,6400,launch,1
40,0.032813,2,6400,6400,launch,1
41,0.032813,2,6400,6400,launch,1
42,0.0328148,2,6400,6400,launch,1
43,0.032814,2,6400,6400,launch,1
44,0.0328169,2,6400,6400,launch,1
45,0.0328194,2,6400,6400,launch,1
46,0.0328188,2,6400,6400,launch,1
47,0.0328178,2,6400,6400,launch,1
48,0.0328154,2,6400,6400,launch,1
49,0.0328626,2,6400,6400,launch,1
50,0.0332667,2,6400,6400,launch,1
51,0.0332596,2,6400,6400,launch,1
52,0.0329521,2,6400,6400,launch,1
53,0.0328061,2,6400,6400,launch,1
54,0.0328053,2,6400,6400,launch,1
55,0.0328023,2,6400,6400,launch,1
56,0.0332506,2,6400,6400,launch,1
57,0.0332516,2,6400,6400,launch,1
58,0.0332464,2,6400,6400,launch,1
59,0.032978,2,6400,6400,launch,1
60,0.0332597,2,6400,6400,launch,1
61,0.033254,2,6400,6400,launch,1
62,0.0336401,2,6400,6400,launch,1
63,0.0336684,2,6400,6400,launch,1
64,0.0336655,2,6400,6400,launch,1
65,0.0332794,2,6400,6400,launch,1
66,0.0332607,2,6400,6400,launch,1
67,0.0332629,2,6400,6400,launch,1
68,0.0328503,2,6400,6400,launch,1
69,0.0328155,2,6400,6400,launch,1
70,0.0328186,2,6400,6400,launch,1
71,0.0328155,2,6400,6400,launch,1
72,0.032821,2,6400,6400,launch,1
73,0.0328178,2,6400,6400,launch,1
74,0.0328133,2,6400,6400,launch,1
75,0.0328158,2,6400,6400,launch,1
76,0.0328169,2,6400,6400,launch,1
77,0.0328185,2,6400,6400,launch,1
78,0.0328161,2,6400,6400,launch,1
79,0.0329399,2,6400,6400,launch,1
80,0.0332399,2,6400,6400,launch,1
81,0.0332202,2,6400,6400,launch,1
82,0.0328586,2,6400,6400,launch,1
83,0.0328124,2,6400,6400,launch,1
84,0.0332585,2,6400,6400,launch,1
85,0.0332497,2,6400,6400,launch,1
86,0.0332567,2,6400,6400,launch,1
87,0.0328211,2,6400,6400,launch,1
88,0.0328796,2,6400,6400,launch,1
89,0.0332423,2,6400,6400,launch,1
90,0.0336158,2,6400,6400,launch,1
91,0.0336463,2,6400,6400,launch,1
92,0.0336533,2,6400,6400,launch,1
93,0.0336627,2,6400,6400,launch,1
94,0.0336617,2,6400,6400,launch,1
95,0.0334451,2,6400,6400,launch,1
96,0.0332613,2,6400,6400,launch,1
97,0.0332168,2,6400,6400,launch,1
98,0.0328183,2,6400,6400,launch,1
99,0.0328169,2,6400,6400,launch,1
100,0.0328208,2,6400,6400,launch,1
