index,time,kernel,dimension,blocksize,operation
0,0.0405765,3600,3840,64,launch
1,0.0406523,3600,3840,64,launch
2,0.0405159,3600,3840,64,launch
3,0.040506,3600,3840,64,launch
4,0.0405026,3600,3840,64,launch
5,0.0405008,3600,3840,64,launch
6,0.0404973,3600,3840,64,launch
7,0.0405135,3600,3840,64,launch
8,0.0405086,3600,3840,64,launch
9,0.0404975,3600,3840,64,launch
10,0.0405086,3600,3840,64,launch
11,0.0405204,3600,3840,64,launch
12,0.0405054,3600,3840,64,launch
13,0.0405086,3600,3840,64,launch
14,0.0405104,3600,3840,64,launch
15,0.0405101,3600,3840,64,launch
16,0.0405089,3600,3840,64,launch
17,0.0405017,3600,3840,64,launch
18,0.0404922,3600,3840,64,launch
19,0.0405129,3600,3840,64,launch
20,0.0405514,3600,3840,64,launch
21,0.0406302,3600,3840,64,launch
22,0.0404872,3600,3840,64,launch
23,0.0405009,3600,3840,64,launch
24,0.0404973,3600,3840,64,launch
25,0.040505,3600,3840,64,launch
26,0.0404988,3600,3840,64,launch
27,0.0404912,3600,3840,64,launch
28,0.0404993,3600,3840,64,launch
29,0.0404963,3600,3840,64,launch
30,0.0405082,3600,3840,64,launch
31,0.0405057,3600,3840,64,launch
32,0.0404984,3600,3840,64,launch
33,0.0404964,3600,3840,64,launch
34,0.0404985,3600,3840,64,launch
35,0.040502,3600,3840,64,launch
36,0.0404972,3600,3840,64,launch
37,0.0404953,3600,3840,64,launch
38,0.0405037,3600,3840,64,launch
39,0.040511,3600,3840,64,launch
40,0.0405924,3600,3840,64,launch
41,0.0406751,3600,3840,64,launch
42,0.0405262,3600,3840,64,launch
43,0.0405253,3600,3840,64,launch
44,0.0405313,3600,3840,64,launch
45,0.0405244,3600,3840,64,launch
46,0.0405227,3600,3840,64,launch
47,0.0405391,3600,3840,64,launch
48,0.0405267,3600,3840,64,launch
49,0.0405318,3600,3840,64,launch
50,0.0405301,3600,3840,64,launch
51,0.0405264,3600,3840,64,launch
52,0.0405232,3600,3840,64,launch
53,0.0405395,3600,3840,64,launch
54,0.0405312,3600,3840,64,launch
55,0.0405501,3600,3840,64,launch
56,0.0405276,3600,3840,64,launch
