time,kernel,dimension,blocksize,operation,
0,8.90569,12,40960,20480,launch,1
1,8.93274,12,40960,20480,launch,1
2,8.87582,12,40960,20480,launch,1
3,8.98184,12,40960,20480,launch,1
4,9.03927,12,40960,20480,launch,1
5,9.16616,12,40960,20480,launch,1
6,8.97868,12,40960,20480,launch,1
7,9.01603,12,40960,20480,launch,1
8,9.0835,12,40960,20480,launch,1
9,9.0175,12,40960,20480,launch,1
10,9.03138,12,40960,20480,launch,1
11,9.09578,12,40960,20480,launch,1
12,9.02032,12,40960,20480,launch,1
13,9.02557,12,40960,20480,launch,1
14,9.10488,12,40960,20480,launch,1
15,9.10257,12,40960,20480,launch,1
16,9.20562,12,40960,20480,launch,1
17,9.08232,12,40960,20480,launch,1
18,9.10689,12,40960,20480,launch,1
19,9.14701,12,40960,20480,launch,1
20,9.06444,12,40960,20480,launch,1
21,9.068,12,40960,20480,launch,1
22,9.12088,12,40960,20480,launch,1
23,9.13438,12,40960,20480,launch,1
24,9.14558,12,40960,20480,launch,1
25,9.13056,12,40960,20480,launch,1
26,9.20533,12,40960,20480,launch,1
27,8.96757,12,40960,20480,launch,1
28,9.11733,12,40960,20480,launch,1
29,9.10676,12,40960,20480,launch,1
30,9.12736,12,40960,20480,launch,1
31,9.1115,12,40960,20480,launch,1
32,9.15841,12,40960,20480,launch,1
33,9.14586,12,40960,20480,launch,1
34,9.21201,12,40960,20480,launch,1
35,9.2186,12,40960,20480,launch,1
36,9.05306,12,40960,20480,launch,1
37,9.02937,12,40960,20480,launch,1
38,9.07722,12,40960,20480,launch,1
39,9.04827,12,40960,20480,launch,1
40,9.16758,12,40960,20480,launch,1
41,9.15585,12,40960,20480,launch,1
42,9.07655,12,40960,20480,launch,1
43,9.04489,12,40960,20480,launch,1
44,9.07024,12,40960,20480,launch,1
45,9.07287,12,40960,20480,launch,1
46,9.10164,12,40960,20480,launch,1
47,9.21952,12,40960,20480,launch,1
48,9.14183,12,40960,20480,launch,1
49,9.2017,12,40960,20480,launch,1
50,9.03914,12,40960,20480,launch,1
51,9.13914,12,40960,20480,launch,1
52,9.12543,12,40960,20480,launch,1
53,9.10576,12,40960,20480,launch,1
54,9.20026,12,40960,20480,launch,1
55,9.09105,12,40960,20480,launch,1
56,9.11233,12,40960,20480,launch,1
57,9.1651,12,40960,20480,launch,1
58,9.08618,12,40960,20480,launch,1
59,9.1534,12,40960,20480,launch,1
60,9.14604,12,40960,20480,launch,1
61,9.10376,12,40960,20480,launch,1
62,9.19318,12,40960,20480,launch,1
63,9.11157,12,40960,20480,launch,1
