index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,0.00245245,16,2560,640,launch,0
1,0.00248428,16,2560,640,launch,0
2,0.0023619,16,2560,640,launch,0
3,0.00234878,16,2560,640,launch,0
4,0.00235134,16,2560,640,launch,0
5,0.00234702,16,2560,640,launch,0
6,0.00234661,16,2560,640,launch,0
7,0.00234986,16,2560,640,launch,0
8,0.00235686,16,2560,640,launch,0
9,0.00235011,16,2560,640,launch,0
10,0.00234486,16,2560,640,launch,0
11,0.00247676,16,2560,640,launch,0
12,0.00249218,16,2560,640,launch,0
13,0.00249223,16,2560,640,launch,0
14,0.0024982,16,2560,640,launch,0
15,0.00250007,16,2560,640,launch,0
16,0.00250154,16,2560,640,launch,0
17,0.00249145,16,2560,640,launch,0
18,0.00250199,16,2560,640,launch,0
19,0.00260983,16,2560,640,launch,0
20,0.00264248,16,2560,640,launch,0
21,0.00263263,16,2560,640,launch,0
22,0.00263634,16,2560,640,launch,0
23,0.00263591,16,2560,640,launch,0
24,0.00263985,16,2560,640,launch,0
25,0.00262998,16,2560,640,launch,0
26,0.00263026,16,2560,640,launch,0
27,0.00265001,16,2560,640,launch,0
28,0.00267629,16,2560,640,launch,0
29,0.00266524,16,2560,640,launch,0
30,0.00266875,16,2560,640,launch,0
31,0.00266866,16,2560,640,launch,0
32,0.00266259,16,2560,640,launch,0
33,0.0026681,16,2560,640,launch,0
34,0.00266464,16,2560,640,launch,0
35,0.00267024,16,2560,640,launch,0
36,0.00266178,16,2560,640,launch,0
37,0.00267537,16,2560,640,launch,0
38,0.0026667,16,2560,640,launch,0
39,0.00266567,16,2560,640,launch,0
40,0.00266474,16,2560,640,launch,0
41,0.0026635,16,2560,640,launch,0
42,0.0026773,16,2560,640,launch,0
43,0.00267486,16,2560,640,launch,0
44,0.00268347,16,2560,640,launch,0
45,0.00266556,16,2560,640,launch,0
46,0.00267484,16,2560,640,launch,0
47,0.00267803,16,2560,640,launch,0
48,0.00266196,16,2560,640,launch,0
49,0.0026793,16,2560,640,launch,0
50,0.00267328,16,2560,640,launch,0
51,0.00268276,16,2560,640,launch,0
52,0.00266568,16,2560,640,launch,0
53,0.00266064,16,2560,640,launch,0
54,0.00266047,16,2560,640,launch,0
55,0.00266263,16,2560,640,launch,0
56,0.00265256,16,2560,640,launch,0
57,0.00267316,16,2560,640,launch,0
58,0.00266467,16,2560,640,launch,0
59,0.00265864,16,2560,640,launch,0
60,0.00266845,16,2560,640,launch,0
61,0.00266067,16,2560,640,launch,0
